model,param,median,lower,upper
null,tau,1.0202765,0.727980583,1.465308045
null,tau2,1.0409641364525002,0.5299557292250484,2.147127666742542
activity,tau,0.97436843,0.7079670877500001,1.3990987874999998
activity,tau2,0.9493938373837625,0.5012173973375482,1.957477417197431
duration,tau,1.07081035,0.7618220835,1.541265325
duration,tau2,1.146634805667845,0.5803728869089052,2.37549880204933
modality,tau,1.00742545,0.72409131425,1.4427203675
modality,tau2,1.014906037310105,0.5243082313722935,2.0814420588004285
algorithm,tau,1.02257785,0.72402894875,1.4721184250000001
algorithm,tau2,1.045665459328685,0.5242179186290443,2.1671326572286
multimodal,tau,1.0486727,0.7528972937500001,1.5011328799999997
multimodal,tau2,1.09971443172578,0.5668543349365143,2.253399923420151
intruders,tau,1.0108529,0.718751781,1.4580513899999992
intruders,tau2,1.02182358544202,0.5166041226909808,2.125913855890294
feature_type,tau,0.9981795499999999,0.70448343025,1.44647246
feature_type,tau2,0.9963624140397154,0.4962969034968218,2.092282577538592
full,tau,1.04479685,0.74423373925,1.5123293899999997
full,tau2,1.091600457770225,0.5538838586380416,2.2871401838591785
