imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,53,0,1.0018545475096232,"r_id[486,Intercept]",0,0,3183.09726815849,"z_1[1,19]",0,5815.486527653689,sd_id__Intercept,0,0,0,0.5910246275735969,0,TRUE
2,4,20000,53,0,1.002020943258484,"z_1[1,4]",0,0,3054.270703613286,"z_1[1,19]",0,4307.714399070578,b_Intercept,0,0,0,0.6327185314896371,0,TRUE
3,4,20000,53,0,1.0008333786931531,"z_1[1,20]",0,0,2822.9612855404052,Intercept,0,4715.050146752309,b_Intercept,0,0,0,0.6385111850279861,0,TRUE
4,4,20000,53,0,1.0010259511391375,"z_1[1,9]",0,0,3284.386282729488,"z_1[1,19]",0,4896.292970449053,"z_1[1,19]",0,0,0,0.629690851070013,0,TRUE
5,4,20000,53,0,1.0007719888084483,Intercept,0,0,3228.7991522075104,b_Intercept,0,5477.229030608212,Intercept,0,0,0,0.6109341483329334,0,TRUE
6,4,20000,53,0,1.0024073872944486,"z_1[1,8]",0,0,3287.189332500185,b_Intercept,0,5371.561184436251,b_Intercept,0,0,0,0.6328591363510833,0,TRUE
7,4,20000,53,0,1.0008985683860954,sd_id__Intercept,0,0,3066.1211175236044,"z_1[1,19]",0,5474.838851110882,Intercept,0,0,0,0.6196902046773759,0,TRUE
8,4,20000,53,0,1.0012594937799946,sd_id__Intercept,0,0,3191.478287653982,"z_1[1,19]",0,5717.582913696116,b_Intercept,0,0,0,0.6390832847625529,0,TRUE
9,4,20000,53,0,1.0009090078639724,"r_id[475,Intercept]",0,0,3444.814468787396,"z_1[1,19]",0,5795.911049341867,Intercept,0,0,0,0.6309646922293624,0,TRUE
10,4,20000,53,0,1.0017207977643938,"z_1[1,4]",0,0,2578.159191858223,"z_1[1,19]",0,4754.645470792366,b_Intercept,0,0,0,0.6244818390357371,0,TRUE
11,4,20000,53,0,1.001154794995201,"r_id[43,Intercept]",0,0,3106.5637160204883,sd_id__Intercept,0,5887.836119599068,"z_1[1,19]",0,0,0,0.6296218573570295,0,TRUE
12,4,20000,53,0,1.0016395113249483,"z_1[1,16]",0,0,2793.870675323008,"z_1[1,19]",0,4795.807168288618,"z_1[1,19]",0,0,0,0.6063042133388944,0,TRUE
13,4,20000,53,0,1.0011765087884819,"z_1[1,8]",0,0,3220.768837252758,"z_1[1,19]",0,5290.536296513994,Intercept,0,0,0,0.6335961763093219,0,TRUE
14,4,20000,53,0,1.0017771821172712,"z_1[1,1]",0,0,3171.4762128241996,b_Intercept,0,4908.806174197783,b_Intercept,0,0,0,0.6413992990279531,0,TRUE
15,4,20000,53,0,1.0014296442697952,"z_1[1,1]",0,0,3040.571883763877,"z_1[1,19]",0,5162.3504383172,b_Intercept,0,0,0,0.6353739579367804,0,TRUE
16,4,20000,53,0,1.0010085945707543,"r_id[43,Intercept]",0,0,3049.943855409722,"z_1[1,19]",0,4985.178218362357,b_Intercept,0,0,0,0.6080096853814425,0,TRUE
17,4,20000,53,0,1.0012741159179732,sd_id__Intercept,0,0,2985.0673218164325,"z_1[1,19]",0,4953.84089737054,Intercept,0,0,0,0.6387073301271038,0,TRUE
18,4,20000,53,0,1.0019344705853614,b_Intercept,0,0,2747.1544108839503,b_Intercept,0,5499.4700575890665,b_Intercept,0,0,0,0.608190576023693,0,TRUE
19,4,20000,53,0,1.0027560860334093,Intercept,0,0,3137.620017832204,"z_1[1,19]",0,4654.991413686968,Intercept,0,0,0,0.6155897416450417,0,TRUE
20,4,20000,53,0,1.0017030226070904,Intercept,0,0,2939.6863479064086,b_Intercept,0,4885.177071941965,b_Intercept,0,0,0,0.5878659928562054,0,TRUE
