imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,54,0,1.0017441018857665,"z_1[1,16]",0,0,2113.0579258999455,Intercept,0,3915.8671809727816,"z_1[1,19]",0,0,0,0.6493703998066324,0,TRUE
2,4,12000,54,0,1.0027331554513585,"r_id[486,Intercept]",0,0,2479.642048084189,"z_1[1,19]",0,3269.2876995061106,Intercept,0,0,0,0.6075472870593235,0,TRUE
3,4,12000,54,0,1.0011197056870973,"z_1[1,19]",0,0,2302.275417255274,Intercept,0,3560.0501022771205,Intercept,0,0,0,0.6195179568294784,0,TRUE
4,4,12000,54,0,1.00221628927216,"z_1[1,19]",0,0,2308.9516561170904,Intercept,0,3930.0039500711373,"z_1[1,19]",0,0,0,0.6350495239102809,0,TRUE
5,4,12000,54,0,1.001830305407751,"z_1[1,1]",0,0,2244.693171098472,sd_id__Intercept,0,3771.6733434459447,Intercept,0,0,0,0.6132416581670225,0,TRUE
6,4,12000,54,0,1.0017318312668848,"r_id[447,Intercept]",0,0,2071.009604768879,"z_1[1,19]",0,3922.2035767730367,Intercept,0,0,0,0.6618056601117762,0,TRUE
7,4,12000,54,0,1.003528645914889,Intercept,0,0,2202.0104282618818,Intercept,0,3773.5712502701235,Intercept,0,0,0,0.6445241212488431,0,TRUE
8,4,12000,54,0,1.0021914560106535,Intercept,0,0,2286.7035447914104,Intercept,0,3766.554439661421,Intercept,0,0,0,0.6521009094140379,0,TRUE
9,4,12000,54,0,1.0024523115503754,"r_id[43,Intercept]",0,0,2426.005311993863,sd_id__Intercept,0,4369.7834365165245,Intercept,0,0,0,0.6167795546428594,0,TRUE
10,4,12000,54,0,1.0027435618002967,"r_id[147,Intercept]",0,0,2449.677469175958,"z_1[1,19]",0,4163.167604885404,Intercept,0,0,0,0.6412916896410286,0,TRUE
11,4,12000,54,0,1.0032510236714287,"z_1[1,16]",0,0,2274.767836014034,Intercept,0,3700.6424041764744,Intercept,0,0,0,0.6473726441100196,0,TRUE
12,4,12000,54,0,1.0018074403935335,"r_id[486,Intercept]",0,0,2190.074630359157,"z_1[1,1]",0,3697.2059017024258,Intercept,0,0,0,0.6196327216071231,0,TRUE
13,4,12000,54,0,1.0025835697590528,"z_1[1,9]",0,0,2185.11374058803,"z_1[1,19]",0,3737.606715206896,Intercept,0,0,0,0.6099146281142723,0,TRUE
14,4,12000,54,0,1.0030244750960728,"z_1[1,19]",0,0,2160.2650451116942,sd_id__Intercept,0,3704.755489749425,Intercept,0,0,0,0.6216779496371085,0,TRUE
15,4,12000,54,0,1.0022202129990436,"z_1[1,4]",0,0,2178.0614200633677,Intercept,0,3620.082595947511,Intercept,0,0,0,0.6509486277293125,0,TRUE
16,4,12000,54,0,1.0013711459619281,sd_id__Intercept,0,0,2279.7706039868717,Intercept,0,4028.2736441611282,"z_1[1,19]",0,0,0,0.668590526381438,0,TRUE
17,4,12000,54,0,1.003708992971605,"z_1[1,16]",0,0,2477.782818835685,Intercept,0,3396.2778736990535,Intercept,0,0,0,0.6619019848826018,0,TRUE
18,4,12000,54,0,1.0013349522261623,"z_1[1,4]",0,0,2148.8993328804418,Intercept,0,3869.4776500271582,Intercept,0,0,0,0.6517670800974158,0,TRUE
19,4,12000,54,0,1.002570747162814,"z_1[1,19]",0,0,2362.886969076093,Intercept,0,3447.4910823203872,Intercept,0,0,0,0.6886762367765509,0,TRUE
20,4,12000,54,0,1.0036940744384912,sd_id__Intercept,0,0,2232.317082277182,sd_id__Intercept,0,3529.8010106149327,Intercept,0,0,0,0.6119325771678671,0,TRUE
