imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,53,0,1.0018753633992272,"r_id[447,Intercept]",0,0,2558.1964363883376,b_Intercept,0,3805.137250306966,Intercept,0,0,0,0.6344923066976756,0,TRUE
2,4,20000,53,0,1.0024428729861763,"z_1[1,19]",0,0,2661.1486436441432,"z_1[1,16]",0,4255.206330874764,"z_1[1,19]",0,0,0,0.6310403255554716,0,TRUE
3,4,20000,53,0,1.0015769970595028,"z_1[1,9]",0,0,2546.3012115636634,"z_1[1,16]",0,4495.700679282987,Intercept,0,0,0,0.6342894361982331,0,TRUE
4,4,20000,53,0,1.0023179045978559,"z_1[1,16]",0,0,2619.3764449594205,Intercept,0,4396.630694827611,"z_1[1,16]",0,0,0,0.6190892124392987,0,TRUE
5,4,20000,53,0,1.0034926507899415,"z_1[1,19]",0,0,2620.5302814668316,"z_1[1,16]",0,4283.018898373956,"z_1[1,19]",0,0,0,0.6185168823189283,0,TRUE
6,4,20000,53,0,1.001826959019694,sd_id__Intercept,0,0,2612.3109740423,Intercept,0,4360.358974783681,Intercept,0,0,0,0.6021288149903157,0,TRUE
7,4,20000,53,0,1.00209788416691,"z_1[1,19]",0,0,2619.193776690478,"z_1[1,19]",0,4443.025304880037,"z_1[1,19]",0,0,0,0.6361747339316554,0,TRUE
8,4,20000,53,0,1.0017538631025362,sd_id__Intercept,0,0,2659.4419991565765,"z_1[1,16]",0,3976.1226891601627,"z_1[1,19]",0,0,0,0.6113331477988365,0,TRUE
9,4,20000,53,0,1.002065941483666,"r_id[305,Intercept]",0,0,2670.8991402171623,"z_1[1,16]",0,4572.964097589797,"z_1[1,16]",0,0,0,0.6108497806410498,0,TRUE
10,4,20000,53,0,1.0018981807032867,"z_1[1,16]",0,0,2861.4126242912666,"z_1[1,16]",0,4830.776129167468,Intercept,0,0,0,0.6165844829470363,0,TRUE
11,4,20000,53,0,1.0006402006358333,"r_id[205,Intercept]",0,0,2209.75318054621,Intercept,0,4391.65543621706,Intercept,0,0,0,0.6325755075890133,0,TRUE
12,4,20000,53,0,1.0028365956723437,b_Intercept,0,0,2352.9490046777455,"z_1[1,16]",0,4662.357778170561,Intercept,0,0,0,0.6340565248175689,0,TRUE
13,4,20000,53,0,1.0022503154768079,sd_id__Intercept,0,0,2567.1479371470264,Intercept,0,4064.387406900463,Intercept,0,0,0,0.6574856279257808,0,TRUE
14,4,20000,53,0,1.0042715154215753,b_Intercept,0,0,2270.8176878074946,"z_1[1,19]",0,4160.0179130581155,Intercept,0,0,0,0.6409857700056766,0,TRUE
15,4,20000,53,0,1.0015517712542341,sd_id__Intercept,0,0,2623.389831430058,"z_1[1,19]",0,3744.848761168267,"z_1[1,16]",0,0,0,0.6238537959964066,0,TRUE
16,4,20000,53,0,1.0007741361260072,"z_1[1,11]",0,0,2766.2932906547694,"z_1[1,19]",0,4680.541796945558,"z_1[1,19]",0,0,0,0.6052562728328078,0,TRUE
17,4,20000,53,0,1.0009179863438382,"z_1[1,1]",0,0,2560.292170017447,"z_1[1,16]",0,4980.565116059673,Intercept,0,0,0,0.6376833154479589,0,TRUE
18,4,20000,53,0,1.0012390987532078,"r_id[266,Intercept]",0,0,2455.026308330408,"z_1[1,19]",0,4258.259110986352,"z_1[1,16]",0,0,0,0.6138057241705909,0,TRUE
19,4,20000,53,0,1.0009357859851822,"r_id[61,Intercept]",0,0,2839.5790379906957,"z_1[1,16]",0,4166.615024141115,Intercept,0,0,0,0.6154184652327856,0,TRUE
20,4,20000,53,0,1.000928464415398,"z_1[1,19]",0,0,2526.22581996371,"z_1[1,16]",0,4180.966318397805,b_Intercept,0,0,0,0.6018817568724084,0,TRUE
