imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,52,0,1.002908037653119,"z_1[1,1]",0,0,1646.3908766559866,sd_id__Intercept,0,2934.222624229579,"z_1[1,1]",0,0,0,0.5925801943507805,0,TRUE
2,4,12000,52,0,1.0014495739264913,"z_1[1,20]",0,0,1527.92567759295,"z_1[1,19]",0,2613.748901118996,"z_1[1,16]",0,0,0,0.6220416651957125,0,TRUE
3,4,12000,52,0,1.0023030980413763,"z_1[1,16]",0,0,1522.4767937644835,"z_1[1,19]",0,2609.783627536573,b_Intercept,0,0,0,0.6089626414437733,0,TRUE
4,4,12000,52,0,1.0026161090816823,"z_1[1,1]",0,0,1573.3551359559924,"z_1[1,19]",0,2217.9884059397527,"z_1[1,16]",0,0,0,0.6151632577848165,0,TRUE
5,4,12000,52,0,1.0014775051082463,"z_1[1,14]",0,0,1630.860565374149,"z_1[1,16]",0,2607.8196906531343,"z_1[1,19]",0,0,0,0.6065460222930366,0,TRUE
6,4,12000,52,0,1.0024770921634618,"z_1[1,1]",0,0,1434.3528289324222,"z_1[1,16]",0,2386.114331232794,b_Intercept,0,0,0,0.631403022846952,0,TRUE
7,4,12000,52,0,1.002294544303845,b_Intercept,0,0,1524.586163799387,"z_1[1,16]",0,2579.284521064007,b_Intercept,0,0,0,0.635978583495594,0,TRUE
8,4,12000,52,0,1.002551070732491,b_Intercept,0,0,1479.6979544219605,b_Intercept,0,1845.0269882011203,b_Intercept,0,0,0,0.5751848909528567,0,TRUE
9,4,12000,52,0,1.0021488086546173,"z_1[1,16]",0,0,1401.8603020220119,b_Intercept,0,2170.3668880401583,b_Intercept,0,0,0,0.6190158323445066,0,TRUE
10,4,12000,52,0,1.0048046954860246,"z_1[1,16]",0,0,1543.7633453494816,"z_1[1,16]",0,2748.099816232498,b_Intercept,0,0,0,0.6468488450859078,0,TRUE
11,4,12000,52,0,1.0036840980186494,sd_id__Intercept,0,0,1601.501931463067,sd_id__Intercept,0,2751.9653629726618,"z_1[1,16]",0,0,0,0.6061360208712219,0,TRUE
12,4,12000,52,0,1.002840727057179,"z_1[1,19]",0,0,1612.313732439781,"z_1[1,16]",0,2870.9189662326435,"z_1[1,19]",0,0,0,0.6020454506312259,0,TRUE
13,4,12000,52,0,1.0023452789161722,"z_1[1,19]",0,0,1645.9417328502284,"z_1[1,19]",0,2974.64942222039,b_Intercept,0,0,0,0.6247223284556725,0,TRUE
14,4,12000,52,0,1.0030484806561268,"z_1[1,19]",0,0,1260.325122456453,b_Intercept,0,1839.9161461817757,"z_1[1,19]",0,0,0,0.6283662303720792,0,TRUE
15,4,12000,52,0,1.002391463611452,"z_1[1,19]",0,0,1494.708954114997,"z_1[1,19]",0,2736.9262990206776,"z_1[1,19]",0,0,0,0.6310139763034386,0,TRUE
16,4,12000,52,0,1.0025181923650945,"z_1[1,9]",0,0,1390.754511593662,"z_1[1,19]",0,2518.8593075763865,"z_1[1,19]",0,0,0,0.6509133773254994,0,TRUE
17,4,12000,52,0,1.0032727485161452,sd_id__Intercept,0,0,1685.3840021816138,b_Intercept,0,2700.16083392814,b_Intercept,0,0,0,0.62415477048895,0,TRUE
18,4,12000,52,0,1.0016842444871605,sd_id__Intercept,0,0,1665.0448265931936,b_Intercept,0,2925.481596806296,"z_1[1,16]",0,0,0,0.599003272112144,0,TRUE
19,4,12000,52,0,1.0050140488080455,"r_id[447,Intercept]",0,0,1657.348860063662,"z_1[1,16]",0,2641.1250621279182,b_Intercept,0,0,0,0.6217639024651722,0,TRUE
20,4,12000,52,0,1.004652590408336,b_Intercept,0,0,1121.1592770815232,"z_1[1,19]",0,2104.561746020168,b_Intercept,0,0,0,0.6391932364307908,0,TRUE
