Construct,Level,Univariate,Multivariate
Modality,Other,"84.8 [76.9, 90.3]","85.8 [76.4, 92.0]"
Modality,ECG,"90.5 [84.1, 94.4]","90.9 [83.8, 95.0]"
Modality,PPG,"87.1 [80.5, 91.8]","86.2 [77.2, 92.2]"
Algorithm family,Other algorithm,"88.1 [81.7, 92.4]","85.8 [76.4, 92.0]"
Algorithm family,Deep learning,"87.7 [81.1, 92.3]","85.4 [75.6, 91.8]"
Algorithm family,Temporal deep learning,"89.3 [81.6, 93.8]","87.0 [76.5, 93.2]"
Algorithm family,Tree-based methods,"88.0 [81.5, 92.5]","85.9 [76.4, 92.2]"
Algorithm family,Kernel-based methods,"86.6 [78.6, 92.0]","84.2 [73.1, 91.3]"
Study duration,low (one day),"88.5 [82.4, 92.8]","85.8 [76.4, 92.0]"
Study duration,medium (multiple days),"87.5 [74.8, 94.0]","84.7 [68.6, 93.0]"
Study duration,high (> one week),"82.5 [65.2, 92.1]","78.6 [57.5, 90.8]"
Multimodality,Unimodal,"87.8 [81.8, 91.9]","85.8 [76.4, 92.0]"
Multimodality,Multimodal,"91.8 [86.8, 95.0]","90.3 [81.9, 95.1]"
Intruders,No intruders,"88.3 [82.7, 92.2]",—
Intruders,Intruders,"86.9 [79.3, 92.1]",—
Feature type,handcrafted,"88.0 [82.1, 92.2]",—
Feature type,deep,"89.8 [82.0, 94.3]",—
Feature type,hybrid,"85.5 [74.9, 92.3]",—
Activity,one condition,"87.3 [80.5, 92.0]","85.6 [75.5, 92.2]"
Activity,multiple conditions,"88.4 [80.9, 93.1]","86.6 [76.0, 93.0]"
Activity,everyday activities,"87.1 [78.2, 92.7]","85.9 [74.1, 93.0]"
