imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,151,0,1.0017826102088885,"r_id[447,Intercept]",0,0,2522.765791484486,"z_1[1,16]",0,3734.062483544457,sd_id__multiC_within,0,0,0,0.7140726956322418,0,TRUE
2,4,12000,151,0,1.0019812642645651,"r_id[447,Intercept]",0,0,2292.5384079927094,Intercept,0,4062.9079251923263,Intercept,0,0,0,0.713756403680659,0,TRUE
3,4,12000,151,0,1.0017021398034092,"z_1[1,10]",0,0,2662.8655489061452,"z_1[1,16]",0,4747.106768226874,Intercept,0,0,0,0.7118014459307863,0,TRUE
4,4,12000,151,0,1.001670930951222,"z_1[2,4]",0,0,2706.6383135464866,Intercept,0,4576.633649982327,Intercept,0,0,0,0.7019571289413462,0,TRUE
5,4,12000,151,0,1.0010785135815263,sd_id__multiC_within,0,0,3022.1323082406457,Intercept,0,4916.7283120748625,"z_1[1,16]",0,0,0,0.7042106064216085,0,TRUE
6,4,12000,151,0,1.0014335044832825,"r_id[382,multiC_within]",0,0,3100.0567143039525,Intercept,0,5346.139849962846,sd_id__Intercept,0,0,0,0.7285888571948663,0,TRUE
7,4,12000,151,0,1.0013566126679554,"z_1[1,11]",0,0,2547.764574264214,"z_1[1,16]",0,3908.411351313761,Intercept,0,0,0,0.6908861893461741,0,TRUE
8,4,12000,151,0,1.002518233892503,Intercept,0,0,2265.397134132298,Intercept,0,4100.490563416979,Intercept,0,0,0,0.7367065627963504,0,TRUE
9,4,12000,151,0,1.001883819546206,"z_1[2,4]",0,0,2594.622712719478,"z_1[1,16]",0,4787.549420972932,Intercept,0,0,0,0.6759369352885545,0,TRUE
10,4,12000,151,0,1.001831001857238,"z_1[1,9]",0,0,2498.75220421814,"z_1[1,16]",0,4338.7341938302925,Intercept,0,0,0,0.7041869355624775,0,TRUE
11,4,12000,151,0,1.0021143658179317,"z_1[1,13]",0,0,2937.8025361655064,Intercept,0,4985.658144907222,"r_id[447,Intercept]",0,0,0,0.6862083255402749,0,TRUE
12,4,12000,151,0,1.0026766599504033,Intercept,0,0,2324.551470973382,Intercept,0,3943.711665065771,Intercept,0,0,0,0.7085031442073896,0,TRUE
13,4,12000,151,0,1.0011854583672806,"z_1[2,18]",0,0,2256.1159147231992,"z_1[1,16]",0,4264.5134920054625,Intercept,0,0,0,0.7121711130596114,0,TRUE
14,4,12000,151,0,1.0029907879328785,"z_1[1,16]",0,0,2566.134177814042,Intercept,0,4073.1182519551467,Intercept,0,0,0,0.6881054455639457,0,TRUE
15,4,12000,151,0,1.0018926921222975,"r_id[330,multiC_within]",0,0,3105.3446239279265,Intercept,0,5043.270622796447,Intercept,0,0,0,0.7109092388566715,0,TRUE
16,4,12000,151,0,1.0020152863578935,Intercept,0,0,2792.729475112487,Intercept,0,5195.603799709282,Intercept,0,0,0,0.6846642718931838,0,TRUE
17,4,12000,151,0,1.0022145676934,"z_2[1,1]",0,0,2076.482791744652,Intercept,0,3577.8149870768075,Intercept,0,0,0,0.695349458225095,0,TRUE
18,4,12000,151,0,1.0015634933072204,"z_1[1,3]",0,0,3224.650875825705,Intercept,0,4397.89785519636,sd_id__multiC_within,0,0,0,0.7270316803784985,0,TRUE
19,4,12000,151,0,1.0036407855212688,"z_1[1,16]",0,0,2503.2308542856076,Intercept,0,3960.5387811594064,"z_1[1,16]",0,0,0,0.7072871235113694,0,TRUE
20,4,12000,151,0,1.0037508561998596,"r_id[447,Intercept]",0,0,2341.6710920041496,Intercept,0,4591.341971157867,Intercept,0,0,0,0.6986862236316953,0,TRUE
