imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,103,0,1.0036341820794932,"r_id[305,Intercept]",0,0,1949.8365480075036,Intercept,0,3680.965618366388,Intercept,0,0,0,0.6611624325712053,0,TRUE
2,4,12000,103,0,1.0033225904668037,sd_id__Intercept,0,0,1831.5686896211505,"z_1[1,10]",0,3036.6562755231776,Intercept,0,0,0,0.6567133456394288,0,TRUE
3,4,12000,103,0,1.0018782234509311,"z_1[1,23]",0,0,1980.008989062713,"z_1[1,8]",0,3570.8773523646096,"z_1[1,19]",0,0,0,0.6546933039036487,0,TRUE
4,4,12000,103,0,1.004045409478598,Intercept,0,0,1872.9045300346352,"z_1[1,19]",0,3285.1943551265726,b_sigma_Intercept,0,0,0,0.6912525346302956,0,TRUE
5,4,12000,103,0,1.0042615421810992,"z_1[1,8]",0,0,1591.5645725488325,"z_1[1,8]",0,2764.488046828913,"z_1[1,8]",0,0,0,0.6882214218292361,0,TRUE
6,4,12000,103,0,1.0021546979702578,b_Intercept,0,0,1888.2811072998065,Intercept,0,3442.5677770975553,Intercept,0,0,0,0.6917714956868808,0,TRUE
7,4,12000,103,0,1.0042419907488875,sd_id__Intercept,0,0,1386.7118909816513,"z_1[1,19]",0,3206.6651402634325,"z_1[1,8]",0,0,0,0.6373307939460877,0,TRUE
8,4,12000,103,0,1.0018686855554906,"z_1[1,19]",0,0,1876.8756339251372,Intercept,0,3056.5454198509346,b_Intercept,0,0,0,0.6758050129218005,0,TRUE
9,4,12000,103,0,1.0022948649074312,sd_id__Intercept,0,0,2045.7133148661972,Intercept,0,3107.3900796556773,Intercept,0,0,0,0.6757819348617283,0,TRUE
10,4,12000,103,0,1.0026795137173505,"z_1[1,10]",0,0,2135.5040718081173,"z_1[1,16]",0,3755.441548703344,Intercept,0,0,0,0.6462137336565938,0,TRUE
11,4,12000,103,0,1.0027704437150908,b_Intercept,0,0,1932.6646075577303,"z_1[1,16]",0,3143.4036634360077,"z_1[1,16]",0,0,0,0.6405341613266553,0,TRUE
12,4,12000,103,0,1.002128165040456,"r_id__sigma[147,Intercept]",0,0,1643.171647329816,"z_1[1,8]",0,2753.272492394443,"z_1[1,8]",0,0,0,0.6664930091082557,0,TRUE
13,4,12000,103,0,1.001904107767494,"r_id__sigma[147,Intercept]",0,0,2195.9577198621205,"z_1[1,19]",0,3555.0672063756115,"z_1[1,16]",0,0,0,0.6655079297129702,0,TRUE
14,4,12000,103,0,1.002481725555018,"r_id[305,Intercept]",0,0,1551.4661965074606,"z_1[1,8]",0,3043.856210360556,"z_1[1,16]",0,0,0,0.6656770328943393,0,TRUE
15,4,12000,103,0,1.002118174694452,b_Intercept,0,0,1818.828865702439,Intercept,0,3277.408116586583,Intercept,0,0,0,0.6772077585259203,0,TRUE
16,4,12000,103,0,1.0019906901056392,"z_1[1,8]",0,0,1811.6100832238974,"z_1[1,8]",0,3210.305669863916,Intercept,0,0,0,0.6900119600378479,0,TRUE
17,4,12000,103,0,1.0034983243136517,Intercept,0,0,1741.6866538879601,"z_1[1,8]",0,2987.7566909799716,Intercept,0,0,0,0.6629411399908522,0,TRUE
18,4,12000,103,0,1.0029751312644986,sd_id__sigma_Intercept,0,0,1719.3627490794015,"z_1[1,8]",0,3044.8322397817565,Intercept,0,0,0,0.6920026386720265,0,TRUE
19,4,12000,103,0,1.0017965665564528,b_sigma_Intercept,0,0,1934.1669419163106,"z_1[1,8]",0,3711.5415843853552,"z_1[1,8]",0,0,0,0.6738421918673665,0,TRUE
20,4,12000,103,0,1.0029336586376179,"r_id[447,Intercept]",0,0,1965.6616193131124,Intercept,0,3390.637722089405,Intercept,0,0,0,0.6991594176544893,0,TRUE
