imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,101,0,1.003221050030757,"r_id[266,Intercept]",0,0,1870.898267461072,"z_1[1,16]",0,3066.532337714912,Intercept,0,0,0,0.6813808931014118,0,TRUE
2,4,12000,101,0,1.0025439021462978,"z_1[1,1]",0,0,1661.901739823061,Intercept,0,2933.256838174131,"z_1[1,19]",0,0,0,0.687711728444383,0,TRUE
3,4,12000,101,0,1.0028482917827355,sd_id__Intercept,0,0,1775.28641998893,"r_id[486,Intercept]",0,3854.5583277766204,"r_id[486,Intercept]",0,0,0,0.6685131087930294,0,TRUE
4,4,12000,101,0,1.0043657031637179,b_sigma_Intercept,0,0,1955.3822423843537,Intercept,0,3381.237060528418,"z_1[1,16]",0,0,0,0.6833890868676854,0,TRUE
5,4,12000,101,0,1.0026478283803464,"r_id[447,Intercept]",0,0,1791.6064750529818,Intercept,0,2835.365739102378,"r_id[486,Intercept]",0,0,0,0.6433449718614901,0,TRUE
6,4,12000,101,0,1.002848383918641,sd_id__Intercept,0,0,1844.2154422096598,Intercept,0,3169.780032704801,Intercept,0,0,0,0.6638497441452905,0,TRUE
7,4,12000,101,0,1.0023766172193616,"z_2[1,1]",0,0,1693.5476508744057,"z_1[1,16]",0,2770.8127757096227,"z_1[1,16]",0,0,0,0.6966842372853336,0,TRUE
8,4,12000,101,0,1.0019692336305128,"r_id__sigma[447,Intercept]",0,0,1969.5592903511406,"z_1[1,16]",0,3683.7766842811834,"z_1[1,16]",0,0,0,0.6933221861384831,0,TRUE
9,4,12000,101,0,1.0042224878544275,"z_1[1,16]",0,0,1730.5105295710944,"z_1[1,16]",0,3078.63294535743,Intercept,0,0,0,0.6795109043585064,0,TRUE
10,4,12000,101,0,1.0022580646297643,"r_id[486,Intercept]",0,0,1776.620369856814,"z_1[1,16]",0,3188.7470706627223,"z_1[1,16]",0,0,0,0.668539722506837,0,TRUE
11,4,12000,101,0,1.001583017855812,"z_1[1,19]",0,0,1773.4302733788704,"z_1[1,16]",0,3086.269336392097,Intercept,0,0,0,0.635209450859082,0,TRUE
12,4,12000,101,0,1.0039351592326304,Intercept,0,0,1801.3123497652546,Intercept,0,3565.2095812224065,Intercept,0,0,0,0.6291410260111514,0,TRUE
13,4,12000,101,0,1.0024473056433751,b_sigma_Intercept,0,0,1651.058683673328,"z_1[1,16]",0,2564.3142165443537,"z_1[1,16]",0,0,0,0.6907858457168757,0,TRUE
14,4,12000,101,0,1.0025306673543686,"z_1[1,4]",0,0,2336.1162844050746,Intercept,0,4242.019821729424,Intercept,0,0,0,0.653583827134164,0,TRUE
15,4,12000,101,0,1.0021328478575764,Intercept,0,0,1905.1469118233513,"z_1[1,19]",0,3337.8179896893585,Intercept,0,0,0,0.6312761773536908,0,TRUE
16,4,12000,101,0,1.0032554944456051,sd_id__sigma_Intercept,0,0,1985.1221733092923,Intercept,0,2895.817938880821,Intercept,0,0,0,0.6529403001917934,0,TRUE
17,4,12000,101,0,1.0029990276523917,"z_2[1,1]",0,0,1514.6640413987125,"z_1[1,16]",0,2867.0316405954372,Intercept,0,0,0,0.6924086565321612,0,TRUE
18,4,12000,101,0,1.002273572591727,"z_1[1,19]",0,0,1968.0628669281823,Intercept,0,3384.0261161907943,Intercept,0,0,0,0.6653707426419113,0,TRUE
19,4,12000,101,0,1.0022197132934756,"r_id[266,Intercept]",0,0,1756.0282132923448,"z_1[1,16]",0,2839.3915456747623,Intercept,0,0,0,0.6774859910404846,0,TRUE
20,4,12000,101,0,1.0031935557606277,b_sigma_Intercept,0,0,1847.993945923991,"z_1[1,16]",0,3441.0379477860183,b_sigma_Intercept,0,0,0,0.6577068376281673,0,TRUE
