imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,101,0,1.0027415967943825,"r_id[486,Intercept]",0,0,1820.7839325578193,"z_1[1,8]",0,3469.980272754654,"z_1[1,8]",0,0,0,0.67656280834132,0,TRUE
2,4,12000,101,0,1.0021660749381085,"r_id[459,Intercept]",0,0,2088.4323356127775,"z_1[1,8]",0,3806.0603291447214,b_Intercept,0,0,0,0.6766486979747827,0,TRUE
3,4,12000,101,0,1.0023709433107952,"z_1[1,19]",0,0,2025.889562092285,"z_1[1,8]",0,3808.7299797922146,"z_1[1,19]",0,0,0,0.6606581579827847,0,TRUE
4,4,12000,101,0,1.0011807390976828,sd_id__Intercept,0,0,1846.7488073549764,"z_1[1,19]",0,3098.9747283507713,"z_1[1,8]",0,0,0,0.6685998823541245,0,TRUE
5,4,12000,101,0,1.0027667164907408,"z_1[1,9]",0,0,2341.6218629111413,"z_1[1,8]",0,3906.177169029236,b_Intercept,0,0,0,0.6973073583227775,0,TRUE
6,4,12000,101,0,1.001288715302741,"r_id[475,Intercept]",0,0,1959.9035986222486,"z_1[1,19]",0,3746.5326996623726,"r_id[486,Intercept]",0,0,0,0.6639933011141691,0,TRUE
7,4,12000,101,0,1.0040725508195572,"z_1[1,19]",0,0,1940.418548242282,"z_1[1,19]",0,3316.6104945530305,b_Intercept,0,0,0,0.6696020917556793,0,TRUE
8,4,12000,101,0,1.0018046040983328,"z_1[1,19]",0,0,2277.383704053003,"z_1[1,8]",0,3966.6548960651553,b_sigma_Intercept,0,0,0,0.6268520336618846,0,TRUE
9,4,12000,101,0,1.0021058552911266,Intercept,0,0,1800.6648726902752,"z_1[1,19]",0,3266.2749811312465,b_Intercept,0,0,0,0.6790291495333608,0,TRUE
10,4,12000,101,0,1.0028049958169554,sd_id__Intercept,0,0,1853.5298659052876,"z_1[1,19]",0,3328.137630741872,"z_1[1,8]",0,0,0,0.6515974313404925,0,TRUE
11,4,12000,101,0,1.0022231555861612,sd_id__Intercept,0,0,2559.079586921969,b_Intercept,0,4132.254979774596,"z_1[1,8]",0,0,0,0.6691246609350392,0,TRUE
12,4,12000,101,0,1.001365085997617,sd_id__sigma_Intercept,0,0,1969.6819403094503,"z_1[1,19]",0,3721.3341559606934,"z_1[1,19]",0,0,0,0.6751054695749368,0,TRUE
13,4,12000,101,0,1.0039561962634278,Intercept,0,0,1663.2970919663335,b_Intercept,0,3141.492764095481,"z_1[1,19]",0,0,0,0.6372771733985725,0,TRUE
14,4,12000,101,0,1.0018441245968546,"z_1[1,13]",0,0,2121.996668135068,"z_1[1,19]",0,3534.598559721267,"r_id[486,Intercept]",0,0,0,0.6517718508288992,0,TRUE
15,4,12000,101,0,1.003200485332297,"r_id__sigma[447,Intercept]",0,0,2117.6226226613794,"r_id[305,Intercept]",0,3748.6892203466705,"r_id[486,Intercept]",0,0,0,0.6896805836488251,0,TRUE
16,4,12000,101,0,1.0016405224207396,"z_1[1,19]",0,0,2337.954946891128,"z_1[1,8]",0,3792.702088103151,"z_1[1,8]",0,0,0,0.63694672422935,0,TRUE
17,4,12000,101,0,1.0032403932131757,b_Intercept,0,0,1947.7409897701427,"z_1[1,8]",0,3496.419323924378,b_Intercept,0,0,0,0.6534665878664084,0,TRUE
18,4,12000,101,0,1.0026233590511016,sd_id__sigma_Intercept,0,0,1811.8630125876955,"z_1[1,8]",0,3433.1704910613867,"z_1[1,8]",0,0,0,0.6551366061575916,0,TRUE
19,4,12000,101,0,1.0022138357832366,"z_1[1,23]",0,0,2070.2645895050214,"z_1[1,8]",0,3423.8147434508573,Intercept,0,0,0,0.6791462323879117,0,TRUE
20,4,12000,101,0,1.0022020037773023,sd_id__sigma_Intercept,0,0,1978.2861404246619,b_sigma_Intercept,0,3379.456891287823,"z_1[1,19]",0,0,0,0.6778804447826914,0,TRUE
