imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,112,0,1.0008661628974858,"z_2[1,9]",0,0,4440.6791970181885,b_sigma_Intercept,0,6908.706908715213,Intercept,0,0,0,0.6945640745032833,0,TRUE
2,4,20000,112,0,1.0018126060296229,sd_id__Intercept,0,0,4544.69708385015,b_sigma_Intercept,0,7906.951923373888,b_sigma_Intercept,0,0,0,0.6810818192979037,0,TRUE
3,4,20000,112,0,1.0006144505947052,Intercept,0,0,5356.238425351231,b_sigma_Intercept,0,7942.525425753966,b_sigma_Intercept,0,0,0,0.7171290176784165,0,TRUE
4,4,20000,112,0,1.000687609741569,"r_id[445,Intercept]",0,0,4350.653335449076,b_sigma_Intercept,0,7436.455560818955,sd_id__Intercept,0,0,0,0.6945754449020011,0,TRUE
5,4,20000,112,0,1.0013266838703414,"z_2[1,1]",0,0,4659.90156930808,b_sigma_Intercept,0,7769.788511841074,b_sigma_Intercept,0,0,0,0.720994146235089,0,TRUE
6,4,20000,112,0,1.002126682981054,Intercept,0,0,4017.6192341940846,Intercept,0,6460.586213412945,Intercept,0,0,0,0.6907716383003258,0,TRUE
7,4,20000,112,0,1.001022815362923,sd_id__sigma_Intercept,0,0,5301.8241460295285,b_sigma_Intercept,0,8380.428366585436,Intercept,0,0,0,0.6816857767820756,0,TRUE
8,4,20000,112,0,1.0013380420089522,"z_2[1,1]",0,0,4428.251001971766,b_sigma_Intercept,0,7731.787920542985,Intercept,0,0,0,0.6825428945063111,0,TRUE
9,4,20000,112,0,1.0013358174859555,"z_1[1,18]",0,0,4704.39476837841,b_sigma_Intercept,0,7905.114217518933,b_sigma_Intercept,0,0,0,0.6944648055917786,0,TRUE
10,4,20000,112,0,1.001188717130642,b_sigma_Intercept,0,0,4957.282600642849,b_sigma_Intercept,0,8556.597217228831,b_sigma_Intercept,0,0,0,0.6858452669773148,0,TRUE
11,4,20000,112,0,1.00189574399584,Intercept,0,0,4512.396001738836,b_sigma_Intercept,0,7157.373352643573,b_sigma_Intercept,0,0,0,0.7040523326046993,0,TRUE
12,4,20000,112,0,1.0007828207196139,b_sigma_Intercept,0,0,3830.716158033241,b_sigma_Intercept,0,7235.402074385332,b_sigma_Intercept,0,0,0,0.6921653381004973,0,TRUE
13,4,20000,112,0,1.0009030164948702,b_multimodal,0,0,4281.367561993293,b_sigma_Intercept,0,6636.417887290354,b_sigma_Intercept,0,0,0,0.7043086511264107,0,TRUE
14,4,20000,112,0,1.0009580922922998,"z_2[1,20]",0,0,5067.649921533202,b_sigma_Intercept,0,8908.437040706222,b_sigma_Intercept,0,0,0,0.7039332810632949,0,TRUE
15,4,20000,112,0,1.0011997010989389,"z_2[1,1]",0,0,4367.0420186460715,b_sigma_Intercept,0,7833.208191369145,b_sigma_Intercept,0,0,0,0.7173407305430937,0,TRUE
16,4,20000,112,0,1.0010484749900233,"r_id__sigma[447,Intercept]",0,0,4462.054257112849,b_sigma_Intercept,0,8970.845580779509,b_sigma_Intercept,0,0,0,0.6854023201869575,0,TRUE
17,4,20000,112,0,1.0006660061883277,b_sigma_Intercept,0,0,4694.685482460627,b_sigma_Intercept,0,7586.537952643241,Intercept,0,0,0,0.6899499761282949,0,TRUE
18,4,20000,112,0,1.000977662344215,sd_id__Intercept,0,0,5081.830559786828,b_sigma_Intercept,0,8065.521117192117,b_sigma_Intercept,0,0,0,0.6551300327296531,0,TRUE
19,4,20000,112,0,1.0009797787355053,"z_2[1,19]",0,0,4891.427485802136,b_sigma_Intercept,0,7999.279087515882,Intercept,0,0,0,0.6834184793922032,0,TRUE
20,4,20000,112,0,1.0010441098557927,b_everyC_within,0,0,4388.451576165687,b_sigma_Intercept,0,8213.644999706004,"r_id[189,Intercept]",0,0,0,0.7032675623936461,0,TRUE
