model,param,median,lower,upper
null,tau,0.957069305,0.68099520225,1.37996762
null,tau2,0.9159816545774472,0.4637544654914561,1.9043106322686818
null,tau_sigma,0.7336998800000001,0.50365351075,1.10577192
activity,tau,0.95293227,0.686015676,1.3700286624999998
activity,tau2,0.9080799112077498,0.4706175077189177,1.8769785360798807
activity,tau_sigma,0.6957779799999999,0.47343058600000004,1.0605819625
duration,tau,0.998917595,0.70334020475,1.4565873599999999
duration,tau2,0.9978363616034231,0.49468744361829003,2.121646737312768
duration,tau_sigma,0.7238880599999999,0.49490008575,1.0944229300000001
modality,tau,0.9706071599999999,0.6899937705,1.3980181299999999
modality,tau2,0.9420782590433281,0.4760914033302073,1.9544546918294796
modality,tau_sigma,0.7783112050000001,0.53859250775,1.1633577925
algorithm,tau,0.952434875,0.66594172675,1.3840232449999998
algorithm,tau2,0.9071321911167769,0.44347838342718743,1.9155203427004088
algorithm,tau_sigma,0.747957985,0.5144353792499999,1.1245119249999997
multimodal,tau,0.98473242,0.701962999,1.4142621899999994
multimodal,tau2,0.9696979389997453,0.49275205196621447,2.000137542069526
multimodal,tau_sigma,0.781943085,0.5440982632500001,1.1686370549999994
intruders,tau,0.94818607,0.6688415265000001,1.3720944299999998
intruders,tau2,0.8990568233421969,0.44734898757144503,1.8826431248370599
intruders,tau_sigma,0.734512875,0.5052940227499999,1.1067575574999997
feature_type,tau,0.93155953,0.6488824485,1.3577248125
feature_type,tau2,0.8678031579338209,0.4210484319713553,1.8434166664799212
feature_type,tau_sigma,0.7364072749999999,0.50510677125,1.1095467575
full,tau,1.0118209999999999,0.7108797315,1.4746427425
full,tau2,1.02378173604125,0.50534999265757,2.1745712180079915
full,tau_sigma,0.86187635,0.6062463677500001,1.2763487825
