imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,100,0,1.001412110609504,"z_1[1,8]",0,0,3201.976683062993,"z_1[1,19]",0,5614.881141674908,Intercept,0,0,0,0.6604253222506125,0,TRUE
2,4,20000,100,0,1.0012578191316692,"z_1[1,19]",0,0,2809.0402608912523,b_Intercept,0,5137.396349246398,"r_id[486,Intercept]",0,0,0,0.673138931988274,0,TRUE
3,4,20000,100,0,1.0022959502160782,Intercept,0,0,3037.616152063664,"z_1[1,19]",0,5494.42114145374,b_Intercept,0,0,0,0.6661864470801888,0,TRUE
4,4,20000,100,0,1.0015779744054676,"z_1[1,19]",0,0,2567.719864912922,"z_1[1,8]",0,4085.4160216073433,b_Intercept,0,0,0,0.6497909955497821,0,TRUE
5,4,20000,100,0,1.0012885685999606,sd_id__sigma_Intercept,0,0,2904.4919659648294,b_Intercept,0,5522.091656933987,Intercept,0,0,0,0.692178147372686,0,TRUE
6,4,20000,100,0,1.0018256957668663,"z_1[1,19]",0,0,2617.3043369662164,Intercept,0,5162.303242493292,b_Intercept,0,0,0,0.6816626874906473,0,TRUE
7,4,20000,100,0,1.0012970650706179,sd_id__Intercept,0,0,3181.4324408169073,b_Intercept,0,6281.4637321365335,"z_1[1,19]",0,0,0,0.6757340536302039,0,TRUE
8,4,20000,100,0,1.0009708297055777,b_sigma_Intercept,0,0,2821.888468627222,b_Intercept,0,4979.865002702888,b_Intercept,0,0,0,0.658661342348172,0,TRUE
9,4,20000,100,0,1.001948403379473,"z_1[1,10]",0,0,2679.103195856622,b_Intercept,0,4609.351611028666,"z_1[1,8]",0,0,0,0.6423677518357529,0,TRUE
10,4,20000,100,0,1.0011254880203537,sd_id__Intercept,0,0,2476.249026735851,b_Intercept,0,4973.444224174851,"z_1[1,8]",0,0,0,0.6894734563856983,0,TRUE
11,4,20000,100,0,1.0011516752734289,"z_2[1,1]",0,0,2826.166919942369,Intercept,0,5042.129230212635,Intercept,0,0,0,0.6645650604294019,0,TRUE
12,4,20000,100,0,1.0013484687908236,"r_id[266,Intercept]",0,0,2712.4222064018536,"z_1[1,8]",0,4773.284517402385,Intercept,0,0,0,0.6666092110484653,0,TRUE
13,4,20000,100,0,1.0014053621914396,"r_id[266,Intercept]",0,0,3602.8537612044543,"z_1[1,19]",0,6146.751983341617,b_Intercept,0,0,0,0.6653971155097195,0,TRUE
14,4,20000,100,0,1.0011585693458351,"z_1[1,4]",0,0,2909.5607823788696,Intercept,0,5248.775304835937,"r_id[266,Intercept]",0,0,0,0.6482802299283973,0,TRUE
15,4,20000,100,0,1.0012755075688287,"z_1[1,19]",0,0,2912.745517261096,"z_1[1,8]",0,5103.662579307343,b_Intercept,0,0,0,0.6592834462993903,0,TRUE
16,4,20000,100,0,1.0020449382721892,b_sigma_Intercept,0,0,2748.2359103827544,b_Intercept,0,4837.750029396513,"r_id[486,Intercept]",0,0,0,0.6597606205563811,0,TRUE
17,4,20000,100,0,1.0014420794056729,sd_id__Intercept,0,0,3064.8786830034987,b_Intercept,0,5485.6316977240285,b_Intercept,0,0,0,0.6623465290387661,0,TRUE
18,4,20000,100,0,1.0014371177884631,sd_id__Intercept,0,0,2489.1575055819576,"z_1[1,8]",0,5147.875313327394,"z_1[1,8]",0,0,0,0.6788979604720822,0,TRUE
19,4,20000,100,0,1.0015440383073746,"r_id[305,Intercept]",0,0,3022.067702311641,"z_1[1,8]",0,5035.494589682335,"r_id[486,Intercept]",0,0,0,0.6670343615946304,0,TRUE
20,4,20000,100,0,1.0013635734884863,sd_id__sigma_Intercept,0,0,3152.6747954271964,"z_1[1,8]",0,5408.947475835764,"r_id[486,Intercept]",0,0,0,0.6600149970609227,0,TRUE
