imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,101,0,1.0026928401062367,"z_2[1,19]",0,0,2148.8839775154074,Intercept,0,3187.2567712181353,Intercept,0,0,0,0.6496192256566877,0,TRUE
2,4,12000,101,0,1.0020912802269957,"z_1[1,8]",0,0,1607.266117192398,"z_1[1,8]",0,2689.065604925862,"z_1[1,8]",0,0,0,0.6700245974222595,0,TRUE
3,4,12000,101,0,1.0042641326664898,"z_1[1,8]",0,0,1821.297302906428,Intercept,0,3389.1247636526546,"r_id[305,Intercept]",0,0,0,0.6493182617003243,0,TRUE
4,4,12000,101,0,1.002698030006024,"r_id[486,Intercept]",0,0,1947.3741824265985,Intercept,0,3106.9183108760376,Intercept,0,0,0,0.6645718523367092,0,TRUE
5,4,12000,101,0,1.0028337674728243,b_sigma_Intercept,0,0,2191.4772240587076,"z_1[1,8]",0,3787.3227140868958,Intercept,0,0,0,0.693447591509259,0,TRUE
6,4,12000,101,0,1.003203788249957,b_Intercept,0,0,1640.9114361608824,Intercept,0,2873.0164441553397,Intercept,0,0,0,0.6748766946366653,0,TRUE
7,4,12000,101,0,1.0049015549201332,b_sigma_Intercept,0,0,1755.6485299186897,"z_1[1,8]",0,3196.4537052928154,"z_1[1,8]",0,0,0,0.6864238678305425,0,TRUE
8,4,12000,101,0,1.003346031013013,"z_1[1,16]",0,0,1916.7221466811893,"z_1[1,8]",0,3452.8435642170066,Intercept,0,0,0,0.6568527556734449,0,TRUE
9,4,12000,101,0,1.0017460895649264,"z_2[1,16]",0,0,1696.915893674052,"z_1[1,8]",0,3070.054601932211,"r_id[486,Intercept]",0,0,0,0.6740816951751712,0,TRUE
10,4,12000,101,0,1.0036394383401512,b_sigma_Intercept,0,0,1925.5108611227377,"z_1[1,19]",0,3410.1121887356617,"r_id[486,Intercept]",0,0,0,0.6276594321916452,0,TRUE
11,4,12000,101,0,1.0033981441004733,"r_id[305,Intercept]",0,0,1786.5943218584334,"z_1[1,8]",0,3111.5793775728484,"z_1[1,19]",0,0,0,0.6917052962439385,0,TRUE
12,4,12000,101,0,1.0024577823132998,"r_id[401,Intercept]",0,0,2162.484491291234,"z_1[1,8]",0,4035.641323375911,Intercept,0,0,0,0.6724949215896378,0,TRUE
13,4,12000,101,0,1.001777795089083,"z_1[1,18]",0,0,1660.0802905454602,Intercept,0,3281.3327483441158,Intercept,0,0,0,0.6358786097016406,0,TRUE
14,4,12000,101,0,1.001648187194527,"z_2[1,1]",0,0,1763.0949756828702,"z_1[1,8]",0,3145.441351066481,"z_1[1,8]",0,0,0,0.6502512407419911,0,TRUE
15,4,12000,101,0,1.0029743159868396,"z_1[1,16]",0,0,2005.4592243247753,Intercept,0,2860.6504542351645,Intercept,0,0,0,0.6448469780146373,0,TRUE
16,4,12000,101,0,1.0019158207957384,sd_id__sigma_Intercept,0,0,2029.8602276771592,Intercept,0,3488.4550324162433,sd_id__Intercept,0,0,0,0.6618108441771338,0,TRUE
17,4,12000,101,0,1.004730063542509,Intercept,0,0,1586.869117930101,"z_1[1,8]",0,3014.6614200038634,Intercept,0,0,0,0.674482022245094,0,TRUE
18,4,12000,101,0,1.0034955300143884,"z_1[1,19]",0,0,1661.049437214278,"z_1[1,19]",0,3211.6296416653777,"z_1[1,8]",0,0,0,0.6671152685214887,0,TRUE
19,4,12000,101,0,1.002397996171183,"z_1[1,8]",0,0,2084.92907277731,"z_1[1,19]",0,3625.640240911396,"z_1[1,19]",0,0,0,0.6715932776721346,0,TRUE
20,4,12000,101,0,1.0024245276769492,"r_id__sigma[447,Intercept]",0,0,1771.3450571294202,Intercept,0,3010.8042023232456,Intercept,0,0,0,0.6577278893158114,0,TRUE
