imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,100,0,1.0025307002006814,"z_1[1,18]",0,0,2664.408676071559,"z_1[1,16]",0,5011.919412283651,b_Intercept,0,0,0,0.6743534195857201,0,TRUE
2,4,20000,100,0,1.0011473508891993,"z_1[1,19]",0,0,2606.5800704992585,"z_1[1,8]",0,4399.752256787481,"z_1[1,8]",0,0,0,0.6606237182812739,0,TRUE
3,4,20000,100,0,1.0013187790369704,"z_1[1,18]",0,0,2262.733102456373,"z_1[1,8]",0,3713.6000938130883,"r_id[486,Intercept]",0,0,0,0.6688501605092367,0,TRUE
4,4,20000,100,0,1.0017203382667366,"r_id[36,Intercept]",0,0,2374.312501371917,"z_1[1,16]",0,4339.274329528048,"r_id[447,Intercept]",0,0,0,0.6526802444996699,0,TRUE
5,4,20000,100,0,1.0031245653130625,"z_1[1,16]",0,0,2139.2623455261223,"z_1[1,8]",0,4418.206853629917,"z_1[1,8]",0,0,0,0.6878519543752138,0,TRUE
6,4,20000,100,0,1.001207967329239,"z_1[1,4]",0,0,3085.431759455466,"z_1[1,8]",0,5362.015216778366,b_Intercept,0,0,0,0.6712334427051859,0,TRUE
7,4,20000,100,0,1.0016903989770551,Intercept,0,0,2257.8370263672277,Intercept,0,4459.127968555452,Intercept,0,0,0,0.6459092943033661,0,TRUE
8,4,20000,100,0,1.0012361129283798,"r_id[266,Intercept]",0,0,2602.086988866881,"z_1[1,8]",0,4881.605280693952,Intercept,0,0,0,0.6746676277081239,0,TRUE
9,4,20000,100,0,1.0013916552426352,sd_id__sigma_Intercept,0,0,2440.1299212784675,"z_1[1,8]",0,4570.719500347564,Intercept,0,0,0,0.6637046194837569,0,TRUE
10,4,20000,100,0,1.0016003696394964,"z_1[1,16]",0,0,2424.3311291256555,"z_1[1,8]",0,4299.839538877531,"z_1[1,8]",0,0,0,0.6637529556502965,0,TRUE
11,4,20000,100,0,1.0016173545408722,"z_1[1,16]",0,0,2176.4260076003993,"z_1[1,8]",0,3740.0542268055256,"z_1[1,8]",0,0,0,0.6712403839590945,0,TRUE
12,4,20000,100,0,1.0017897051417717,"z_1[1,4]",0,0,2225.043096870479,Intercept,0,4334.793168381949,b_Intercept,0,0,0,0.6554749267880583,0,TRUE
13,4,20000,100,0,1.0012354702354946,"r_id[305,Intercept]",0,0,2677.4267852675157,"z_1[1,8]",0,5226.392622649228,"r_id[486,Intercept]",0,0,0,0.6419561537525662,0,TRUE
14,4,20000,100,0,1.0014644521809495,b_sigma_Intercept,0,0,2860.9631597230014,"z_1[1,8]",0,4601.220003150353,b_Intercept,0,0,0,0.6720165308872453,0,TRUE
15,4,20000,100,0,1.001464540970273,"z_1[1,8]",0,0,2430.071221268366,"z_1[1,8]",0,4552.899597877772,b_Intercept,0,0,0,0.6273596336730343,0,TRUE
16,4,20000,100,0,1.00102735907856,"z_1[1,4]",0,0,2268.183648039946,"z_1[1,8]",0,4627.613171192158,"z_1[1,8]",0,0,0,0.6746446834926264,0,TRUE
17,4,20000,100,0,1.002133227213226,sd_id__Intercept,0,0,2376.218618301521,"z_1[1,8]",0,4357.883898662394,b_Intercept,0,0,0,0.664708550364933,0,TRUE
18,4,20000,100,0,1.0013901784428734,sd_id__Intercept,0,0,2054.317271677835,"z_1[1,8]",0,4359.4131144238045,"z_1[1,19]",0,0,0,0.694208977552531,0,TRUE
19,4,20000,100,0,1.0025575209083584,sd_id__Intercept,0,0,2632.236709341209,"z_1[1,8]",0,5161.197798943896,"z_1[1,19]",0,0,0,0.6944314889350367,0,TRUE
20,4,20000,100,0,1.0015517261739195,"z_2[1,16]",0,0,2315.0710983241393,"z_1[1,8]",0,4113.092546754637,Intercept,0,0,0,0.6644104340529179,0,TRUE
