imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,99,0,1.0044136669021186,b_sigma_Intercept,0,0,1642.9995548102386,"z_1[1,16]",0,2875.108326334626,"z_1[1,16]",0,0,0,0.6828583130719816,0,TRUE
2,4,12000,99,0,1.002438445974647,"r_id[475,Intercept]",0,0,1520.800922136427,"z_1[1,8]",0,2639.9186251363294,b_Intercept,0,0,0,0.6740771379519322,0,TRUE
3,4,12000,99,0,1.002284643558153,sd_id__sigma_Intercept,0,0,1658.0801221396353,"z_1[1,8]",0,3247.9683208063816,"z_1[1,8]",0,0,0,0.6687085257579655,0,TRUE
4,4,12000,99,0,1.0031115691330519,"z_1[1,16]",0,0,1594.4299303970474,"r_id[486,Intercept]",0,2586.759202528806,"z_1[1,8]",0,0,0,0.6583816661000911,0,TRUE
5,4,12000,99,0,1.004888380357697,"z_1[1,10]",0,0,1429.4542942133744,"z_1[1,8]",0,2660.30109986718,"z_1[1,19]",0,0,0,0.6389793276514658,0,TRUE
6,4,12000,99,0,1.0016332812460673,"r_id[475,Intercept]",0,0,1631.1824394594619,"z_1[1,8]",0,3028.5063034446243,"z_1[1,16]",0,0,0,0.6933032175393763,0,TRUE
7,4,12000,99,0,1.003100632006371,b_sigma_Intercept,0,0,1312.8304360938992,"z_1[1,8]",0,2540.7561589901907,"z_1[1,8]",0,0,0,0.6633606406633017,0,TRUE
8,4,12000,99,0,1.0042393475942226,"z_2[1,1]",0,0,1342.7108054358948,"z_1[1,16]",0,2796.1354916178448,"r_id[486,Intercept]",0,0,0,0.6913568629374446,0,TRUE
9,4,12000,99,0,1.003790242378239,"r_id[266,Intercept]",0,0,1612.2460942398695,"z_1[1,16]",0,2648.8391762092087,b_Intercept,0,0,0,0.6847681237464637,0,TRUE
10,4,12000,99,0,1.0050081132819915,"r_id[266,Intercept]",0,0,1195.4311350253006,"r_id[447,Intercept]",0,2393.5873907282944,b_Intercept,0,0,0,0.6501004337129003,0,TRUE
11,4,12000,99,0,1.002411592356633,"z_1[1,16]",0,0,1413.9103950690371,"z_1[1,16]",0,2539.064133773236,"z_1[1,8]",0,0,0,0.6645994177236514,0,TRUE
12,4,12000,99,0,1.0034877597043281,sd_id__Intercept,0,0,1791.9127824474997,"z_1[1,16]",0,2722.458708096717,"z_1[1,16]",0,0,0,0.6709047005741584,0,TRUE
13,4,12000,99,0,1.0062175818648968,"z_1[1,19]",0,0,1462.0403844280124,"z_1[1,16]",0,2750.1267457599115,"z_1[1,8]",0,0,0,0.6450353819921797,0,TRUE
14,4,12000,99,0,1.002383044103961,"z_1[1,19]",0,0,1469.2100043825183,"z_1[1,8]",0,2810.6543831204344,"r_id[486,Intercept]",0,0,0,0.6191727353555054,0,TRUE
15,4,12000,99,0,1.0051562314575242,sd_id__Intercept,0,0,1475.4414368683922,"z_1[1,16]",0,2705.351399713446,"z_1[1,16]",0,0,0,0.6668509271501354,0,TRUE
16,4,12000,99,0,1.0021622768681027,sd_id__Intercept,0,0,1325.3997556472639,"z_1[1,8]",0,2733.909369095755,"z_1[1,8]",0,0,0,0.6291571999006768,0,TRUE
17,4,12000,99,0,1.003015104144281,"z_1[1,16]",0,0,1576.115294597055,"z_1[1,8]",0,3010.6561798471625,"z_1[1,16]",0,0,0,0.6918683868487366,0,TRUE
18,4,12000,99,0,1.0017044858125215,"z_1[1,18]",0,0,1728.9418433133033,"z_1[1,16]",0,2686.5071463193167,"z_1[1,16]",0,0,0,0.6319488499612251,0,TRUE
19,4,12000,99,0,1.0032067452191906,b_sigma_Intercept,0,0,1394.1458785513817,"z_1[1,16]",0,2770.2305346373564,b_Intercept,0,0,0,0.6668249011728813,0,TRUE
20,4,12000,99,0,1.0028754886237592,"z_1[1,4]",0,0,1842.7634905896737,"z_1[1,8]",0,3647.455484586701,b_Intercept,0,0,0,0.6666237740073635,0,TRUE
