imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,109,1,1.0030989347352162,Intercept,0,0,1711.4850150931004,Intercept,0,3536.958962568892,Intercept,0,0,0,0.6971502906991124,0,TRUE
2,4,12000,109,1,1.0038500263075336,Intercept,0,0,1728.6928993228778,Intercept,0,2728.4538957003065,sd_id__multiC_within,0,0,0,0.7091576924209881,0,TRUE
3,4,12000,109,1,1.001489161134912,"r_id[475,multiC_within]",0,0,2093.5932200163156,Intercept,0,3504.652917711145,sd_id__multiC_within,0,0,0,0.7765337617965764,0,TRUE
4,4,12000,109,1,1.003979088580472,"z_1[1,23]",0,0,1592.4626533884161,Intercept,0,2424.603884999808,sd_id__multiC_within,0,0,0,0.7408028783363125,0,TRUE
5,4,12000,109,1,1.0043393945952486,Intercept,0,0,1708.6701963579064,Intercept,0,3136.7973417757444,Intercept,0,0,0,0.7459066976395867,0,TRUE
6,4,12000,109,1,1.0024370122192463,"z_1[2,17]",0,0,2112.284890553389,Intercept,0,2983.151034611093,sd_id__multiC_within,0,0,0,0.6942889945523908,0,TRUE
7,4,12000,109,1,1.0025131111946524,Intercept,0,0,2052.5665317393164,Intercept,0,3712.877369266244,Intercept,0,0,0,0.7429551750611078,0,TRUE
8,4,12000,109,1,1.0031443307949532,Intercept,0,0,1816.3505700543233,Intercept,0,2511.748068656655,sd_id__multiC_within,0,0,0,0.7376370311641277,0,TRUE
9,4,12000,109,1,1.0035889819122394,"z_1[1,13]",0,0,1650.5870690209663,Intercept,0,3913.5309105167007,Intercept,0,0,0,0.7488699049831234,0,TRUE
10,4,12000,109,1,1.001993105094282,"z_1[1,19]",0,0,2244.193700028828,Intercept,0,2864.587596926432,sd_id__multiC_within,0,0,0,0.7329750960923537,0,TRUE
11,4,12000,109,1,1.0020739818000954,"z_1[1,1]",0,0,2088.963790459013,Intercept,0,3592.1515752244254,sd_id__multiC_within,0,0,0,0.7467694193164324,0,TRUE
12,4,12000,109,1,1.001848598992827,"z_1[1,10]",0,0,1854.937046766801,Intercept,0,2543.750954958156,sd_id__multiC_within,0,0,0,0.7310340164030745,0,TRUE
13,4,12000,109,1,1.0024052030337263,"z_1[2,6]",0,0,2002.9918936129293,Intercept,0,3249.318256944893,sd_id__multiC_within,0,0,0,0.7837856921317671,0,TRUE
14,4,12000,109,1,1.0017650076205062,"z_1[1,16]",0,0,2088.0394117133324,Intercept,0,3017.46974430654,sd_id__multiC_within,0,0,0,0.7053534421310069,0,TRUE
15,4,12000,109,1,1.0017803128121268,"r_id[147,Intercept]",0,0,2537.854503539265,Intercept,0,3718.2151100117576,sd_id__multiC_within,0,0,0,0.7346201342812237,0,TRUE
16,4,12000,109,1,1.0032962928345928,"z_1[1,23]",0,0,2113.756739475781,"z_1[1,16]",0,1842.4121062509632,sd_id__multiC_within,0,0,0,0.7466225918521955,0,TRUE
17,4,12000,109,1,1.0019787089077703,sd_id__Intercept,0,0,1651.9471083686003,Intercept,0,2893.553153220496,sd_id__multiC_within,0,0,0,0.6930700118532567,0,TRUE
18,4,12000,109,1,1.0025714510860282,"z_1[2,3]",0,0,2195.7905227371725,Intercept,0,3461.940572628452,sd_id__multiC_within,0,0,0,0.7615176469853173,0,TRUE
19,4,12000,109,1,1.0024140909614043,sd_id__Intercept,0,0,2033.3656521220666,Intercept,0,2264.390184517475,sd_id__multiC_within,0,0,0,0.736688179387518,0,TRUE
20,4,12000,109,1,1.002933160336479,sd_id__Intercept,0,0,2294.8229453846525,Intercept,0,3714.039611162818,Intercept,0,0,0,0.7268763882879774,0,TRUE
