imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,61,1,1.001660536708044,"r_id[330,Intercept]",0,0,1776.5267984297286,"z_1[1,8]",0,3108.890918584251,Intercept,0,0,0,0.6779889812484381,0,TRUE
2,4,12000,61,1,1.0016503946207893,"z_1[1,4]",0,0,1843.6110828303322,Intercept,0,3075.9112839046284,"z_1[1,8]",0,0,0,0.7151610720169228,0,TRUE
3,4,12000,61,1,1.001265139483791,"r_id[447,Intercept]",0,0,1782.0079928385655,"z_1[1,8]",0,3533.003199863672,"z_1[1,16]",0,0,0,0.7298036165873526,0,TRUE
4,4,12000,61,1,1.0014291940826858,"z_1[1,13]",0,0,1852.7681193723113,"z_1[1,8]",0,2975.023449375429,Intercept,0,0,0,0.6890258289573958,0,TRUE
5,4,12000,61,1,1.0014029180607513,"r_id[278,Intercept]",0,0,1692.7766297328237,"z_1[1,8]",0,3130.789727929108,"z_1[1,8]",0,0,0,0.6916001203588796,0,TRUE
6,4,12000,61,1,1.0010774928303854,"z_1[1,2]",0,0,1997.7812049293411,Intercept,0,3223.612782086419,Intercept,0,0,0,0.6688735394398136,0,TRUE
7,4,12000,61,1,1.0013920908104732,sd_id__Intercept,0,0,2240.814564031687,Intercept,0,3250.682610779928,"z_1[1,19]",0,0,0,0.6910731934923079,0,TRUE
8,4,12000,61,1,1.0025109356167878,Intercept,0,0,1652.264649489411,Intercept,0,3273.543260045728,Intercept,0,0,0,0.6878589666668095,0,TRUE
9,4,12000,61,1,1.0026708426738054,"z_1[1,19]",0,0,1768.0904197283314,"z_1[1,19]",0,3178.527239431639,Intercept,0,0,0,0.715487202173823,0,TRUE
10,4,12000,61,1,1.0014554383353893,"r_id[447,Intercept]",0,0,1872.8865210968415,"z_1[1,8]",0,2893.6537720879373,"z_1[1,8]",0,0,0,0.652466957743381,0,TRUE
11,4,12000,61,1,1.0020601802264857,"r_id[486,Intercept]",0,0,1928.272186185562,"z_1[1,8]",0,3207.366565861822,Intercept,0,0,0,0.6830653877520548,0,TRUE
12,4,12000,61,1,1.0014703977556818,sd_id__Intercept,0,0,2120.396447654993,"z_1[1,8]",0,3487.839906174567,"z_1[1,8]",0,0,0,0.6479729970740262,0,TRUE
13,4,12000,61,1,1.0024095421533694,b_Intercept,0,0,1947.18921996368,"z_1[1,16]",0,3687.0616276589594,"z_1[1,8]",0,0,0,0.7161787413470322,0,TRUE
14,4,12000,61,1,1.0019714680182912,Intercept,0,0,1790.781104046605,"z_1[1,19]",0,3448.845118526956,Intercept,0,0,0,0.6601072773801654,0,TRUE
15,4,12000,61,1,1.0014992930156292,"z_1[1,20]",0,0,1911.0688276402157,"z_1[1,8]",0,3761.5473484320078,Intercept,0,0,0,0.7104635736041244,0,TRUE
16,4,12000,61,1,1.0011163151358735,"z_1[1,1]",0,0,2100.80206042243,Intercept,0,3156.2210222198078,Intercept,0,0,0,0.6837876015654262,0,TRUE
17,4,12000,61,1,1.0040382180998126,"z_1[1,19]",0,0,1548.33721546055,"z_1[1,19]",0,3388.279121249529,Intercept,0,0,0,0.6589049341691495,0,TRUE
18,4,12000,61,1,1.0030204235944402,"z_1[1,8]",0,0,1963.6943465170439,"z_1[1,8]",0,4044.2742566521642,Intercept,0,0,0,0.6594885857422641,0,TRUE
19,4,12000,61,1,1.001895145623849,"z_1[1,8]",0,0,2041.6454210298753,Intercept,0,3178.918933152037,"z_1[1,8]",0,0,0,0.68538682845552,0,TRUE
20,4,12000,61,1,1.0014466108081592,"z_1[1,19]",0,0,1934.8475512380353,"z_1[1,19]",0,3633.9816276590377,"z_1[1,16]",0,0,0,0.6903576702257891,0,TRUE
