imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,1,1.0036094986046067,"z_1[1,16]",0,0,1836.7401866228524,Intercept,0,3210.6182759675967,"r_id[486,Intercept]",0,0,0,0.6708156926003062,0,TRUE
2,4,12000,59,1,1.0009143983336455,"r_id[147,Intercept]",0,0,1737.9398274045918,"z_1[1,19]",0,2509.48697618085,"z_1[1,16]",0,0,0,0.6977835558970874,0,TRUE
3,4,12000,59,1,1.0027814782901117,"z_1[1,16]",0,0,1634.0699445058729,"z_1[1,19]",0,3224.8857330946275,"z_1[1,19]",0,0,0,0.7203156962876933,0,TRUE
4,4,12000,59,1,1.0041599045726104,Intercept,0,0,1789.316539119412,"z_1[1,16]",0,3340.3122188049506,Intercept,0,0,0,0.6737418739667697,0,TRUE
5,4,12000,59,1,1.0028292838180437,sd_id__Intercept,0,0,1725.853548925175,Intercept,0,3203.992181042869,Intercept,0,0,0,0.6592468559954184,0,TRUE
6,4,12000,59,1,1.0018756594674034,"r_id[459,Intercept]",0,0,1926.842605800868,"z_1[1,16]",0,2937.727526488738,"z_1[1,19]",0,0,0,0.6755896918321939,0,TRUE
7,4,12000,59,1,1.0026215439534547,"z_1[1,4]",0,0,1850.5435926407392,"z_1[1,19]",0,3475.790823203585,"z_1[1,16]",0,0,0,0.675547090385625,0,TRUE
8,4,12000,59,1,1.003191234768366,Intercept,0,0,1708.8177185451063,Intercept,0,3034.8581468248017,Intercept,0,0,0,0.6856989782276082,0,TRUE
9,4,12000,59,1,1.004262117182233,"r_id[447,Intercept]",0,0,1694.5643948089753,"z_1[1,19]",0,2883.106372616378,"z_1[1,16]",0,0,0,0.7158310603140646,0,TRUE
10,4,12000,59,1,1.0021570924319025,b_Intercept,0,0,1947.7534017727983,Intercept,0,3104.2548731041948,Intercept,0,0,0,0.6904493180587229,0,TRUE
11,4,12000,59,1,1.0020883609839977,Intercept,0,0,1760.9263766909698,"z_1[1,19]",0,2540.4238783826368,"z_1[1,19]",0,0,0,0.6732822369654496,0,TRUE
12,4,12000,59,1,1.0008753370115593,b_sigma_duration.L,0,0,1879.756969728001,"z_1[1,16]",0,3412.992089683428,b_Intercept,0,0,0,0.7132008955211404,0,TRUE
13,4,12000,59,1,1.002572255609546,"z_1[1,1]",0,0,1808.2552128216282,"z_1[1,16]",0,3154.2418806521123,Intercept,0,0,0,0.6884222752862689,0,TRUE
14,4,12000,59,1,1.0022410524719059,"r_id[495,Intercept]",0,0,1904.6604453606135,Intercept,0,3497.2881516872867,"z_1[1,19]",0,0,0,0.6557718072245079,0,TRUE
15,4,12000,59,1,1.0035630992913511,"r_id[447,Intercept]",0,0,1909.0514349390037,"z_1[1,16]",0,2885.683654270118,Intercept,0,0,0,0.643074317728111,0,TRUE
16,4,12000,59,1,1.0039694065842864,"z_1[1,16]",0,0,1794.5654510486047,"z_1[1,16]",0,3060.257820190509,"z_1[1,16]",0,0,0,0.6847257594551264,0,TRUE
17,4,12000,59,1,1.0039511382795598,Intercept,0,0,1996.0306217555662,Intercept,0,3630.7477413454767,"z_1[1,16]",0,0,0,0.7238537087219322,0,TRUE
18,4,12000,59,1,1.0029897633481057,"z_1[1,4]",0,0,1956.9134058823047,"z_1[1,16]",0,3529.936040227884,Intercept,0,0,0,0.6945095424446854,0,TRUE
19,4,12000,59,1,1.0016567574992774,"z_1[1,7]",0,0,1892.2471350210901,"z_1[1,19]",0,3405.3784361698554,"z_1[1,19]",0,0,0,0.7165381883049342,0,TRUE
20,4,12000,59,1,1.0018396335665896,"r_id[147,Intercept]",0,0,1748.5878165394402,Intercept,0,3002.429019193548,Intercept,0,0,0,0.6623684213272797,0,TRUE
