imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,1,1.0031387487449832,"r_id[486,Intercept]",0,0,2166.4584332536892,"z_1[1,19]",0,3644.835206874031,"r_id[486,Intercept]",0,0,0,0.7056993795284655,0,TRUE
2,4,12000,59,1,1.0027769430997828,"z_1[1,19]",0,0,1717.4008361396363,"z_1[1,8]",0,3452.5535152771813,"r_id[486,Intercept]",0,0,0,0.6872285966576266,0,TRUE
3,4,12000,59,1,1.003039616980357,"z_1[1,19]",0,0,2027.2076114955396,"z_1[1,19]",0,3687.206379756175,"z_1[1,19]",0,0,0,0.7159502515005209,0,TRUE
4,4,12000,59,1,1.0022643076342594,"z_1[1,19]",0,0,2066.4046349122577,"z_1[1,8]",0,3827.243950864594,"z_1[1,8]",0,0,0,0.7232729404965342,0,TRUE
5,4,12000,59,1,1.0038865885311417,sd_id__Intercept,0,0,2170.381875245132,"z_1[1,8]",0,3673.0080273033414,"z_1[1,19]",0,0,0,0.6769642012717909,0,TRUE
6,4,12000,59,1,1.0035885294699642,Intercept,0,0,1869.2306746648728,"z_1[1,8]",0,3349.8051028852424,"r_id[305,Intercept]",0,0,0,0.7004908765275192,0,TRUE
7,4,12000,59,1,1.0015588988573998,"z_1[1,19]",0,0,2220.929494707095,"z_1[1,19]",0,3565.6241665611005,"r_id[486,Intercept]",0,0,0,0.7010669728869137,0,TRUE
8,4,12000,59,1,1.0018695739689525,"z_1[1,4]",0,0,2158.3431278967873,"z_1[1,19]",0,3690.6146447680107,"z_1[1,8]",0,0,0,0.6860119278922437,0,TRUE
9,4,12000,59,1,1.002517805163229,"r_id[374,Intercept]",0,0,2142.848835923784,"z_1[1,19]",0,3340.6021458359764,"r_id[305,Intercept]",0,0,0,0.7355919741233408,0,TRUE
10,4,12000,59,1,1.0030997002787978,"z_1[1,19]",0,0,1723.04806266796,"z_1[1,8]",0,3043.224456645586,b_Intercept,0,0,0,0.6909765077302065,0,TRUE
11,4,12000,59,1,1.0022758249234045,"r_id[486,Intercept]",0,0,2090.041551341364,"z_1[1,8]",0,3216.60885101941,b_Intercept,0,0,0,0.6873671925073244,0,TRUE
12,4,12000,59,1,1.001383864835299,"z_1[1,1]",0,0,2097.462013694034,b_Intercept,0,3608.432643262203,"r_id[486,Intercept]",0,0,0,0.6995392956341617,0,TRUE
13,4,12000,59,1,1.0033373206714813,"r_id[305,Intercept]",0,0,2035.7194800916777,"z_1[1,8]",0,3859.8701184478723,b_Intercept,0,0,0,0.6901832142289943,0,TRUE
14,4,12000,59,1,1.0010116718728896,"z_1[1,12]",0,0,1978.9802591643588,"z_1[1,8]",0,3089.3807484630024,b_Intercept,0,0,0,0.6794085753943729,0,TRUE
15,4,12000,59,1,1.0031821426279621,sd_id__Intercept,0,0,1830.7812676958442,"z_1[1,19]",0,3180.4951174174325,"z_1[1,19]",0,0,0,0.717957470530909,0,TRUE
16,4,12000,59,1,1.0017646601000054,"z_1[1,19]",0,0,2063.2478615425134,"z_1[1,8]",0,3748.6273052197384,"z_1[1,8]",0,0,0,0.7251939991167167,0,TRUE
17,4,12000,59,1,1.0032385355439233,"z_1[1,8]",0,0,2074.647964940496,"z_1[1,19]",0,3951.391566899901,"z_1[1,19]",0,0,0,0.7099191998437537,0,TRUE
18,4,12000,59,1,1.0017318932886767,b_sigma_duration.L,0,0,2171.632454008889,"z_1[1,19]",0,3570.9684020074615,Intercept,0,0,0,0.6612688610574251,0,TRUE
19,4,12000,59,1,1.0026903562928011,Intercept,0,0,2169.7660485418583,b_Intercept,0,3039.635715994331,"r_id[495,Intercept]",0,0,0,0.7135123857488515,0,TRUE
20,4,12000,59,1,1.0015891206939138,"r_id[43,Intercept]",0,0,2177.9388932687093,"z_1[1,19]",0,3586.0477967370025,Intercept,0,0,0,0.6697478504182839,0,TRUE
