imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,70,1,1.0012852118862936,Intercept,0,0,6229.995201123457,sd_id__Intercept,0,9461.358757479586,Intercept,0,0,0,0.746712021413689,0,TRUE
2,4,20000,70,1,1.0016154817997072,Intercept,0,0,4589.893273882303,Intercept,0,8020.840418975695,Intercept,0,0,0,0.7348928209253575,0,TRUE
3,4,20000,70,1,1.001033237041451,"r_id[75,Intercept]",0,0,5168.262504868921,Intercept,0,8853.338681489951,Intercept,0,0,0,0.7640300157981297,0,TRUE
4,4,20000,70,1,1.0015029328972862,"z_1[1,16]",0,0,5347.017563463197,Intercept,0,7891.359083716915,Intercept,0,0,0,0.7471810980878978,0,TRUE
5,4,20000,70,1,1.0007184284006287,"z_1[1,8]",0,0,5927.9659233741195,Intercept,0,8959.56964550144,Intercept,0,0,0,0.7244168519883047,0,TRUE
6,4,20000,70,1,1.0008505761630586,"z_1[1,12]",0,0,5376.108421639586,Intercept,0,7965.125152637475,Intercept,0,0,0,0.7298105420904977,0,TRUE
7,4,20000,70,1,1.0010961837759595,sd_id__Intercept,0,0,6602.4822823774675,sd_id__Intercept,0,9305.067542447568,"r_id[382,Intercept]",0,0,0,0.7149721740888925,0,TRUE
8,4,20000,70,1,1.0009799445202558,"z_1[1,8]",0,0,4980.80947889634,Intercept,0,7989.978261771499,Intercept,0,0,0,0.7224442288440892,0,TRUE
9,4,20000,70,1,1.000922857400724,"r_id[305,Intercept]",0,0,6042.780357210463,Intercept,0,8243.18381371829,Intercept,0,0,0,0.7839127999727772,0,TRUE
10,4,20000,70,1,1.0007277301621458,"z_1[1,6]",0,0,5762.079840279465,Intercept,0,8947.495562346616,Intercept,0,0,0,0.7528921436036853,0,TRUE
11,4,20000,70,1,1.000817269772157,b_sigma_multimodal,0,0,5313.7854247241285,Intercept,0,8136.456723675082,Intercept,0,0,0,0.751767453348911,0,TRUE
12,4,20000,70,1,1.0007294961278759,"z_1[1,12]",0,0,5325.528238938391,Intercept,0,7713.149436925171,Intercept,0,0,0,0.7356211136006439,0,TRUE
13,4,20000,70,1,1.0007089103227675,"r_id[447,Intercept]",0,0,5684.104251679141,Intercept,0,8484.87907372933,Intercept,0,0,0,0.7240496511424287,0,TRUE
14,4,20000,70,1,1.0008785177806334,"r_id[374,Intercept]",0,0,5373.273849273116,Intercept,0,8519.49023719565,Intercept,0,0,0,0.7160977143995222,0,TRUE
15,4,20000,70,1,1.000950525903933,b_algodl_temp,0,0,5657.556070383662,Intercept,0,8079.2148522601865,Intercept,0,0,0,0.7161508201474546,0,TRUE
16,4,20000,70,1,1.0009190121434484,b_multiC_within,0,0,4976.1999078892295,Intercept,0,7266.560516760718,Intercept,0,0,0,0.7394345849643634,0,TRUE
17,4,20000,70,1,1.000933200895864,Intercept,0,0,5347.37403937838,b_sigma_multimodal,0,8961.614244875365,Intercept,0,0,0,0.7703866803381018,0,TRUE
18,4,20000,70,1,1.001067333489183,"z_1[1,23]",0,0,5037.873943002192,Intercept,0,8148.544171494744,Intercept,0,0,0,0.7071455240385827,0,TRUE
19,4,20000,70,1,1.0007084573051128,"z_1[1,4]",0,0,5320.317168952861,Intercept,0,8646.357853568565,Intercept,0,0,0,0.7466298112190844,0,TRUE
20,4,20000,70,1,1.001067355285833,"r_id[486,Intercept]",0,0,5364.795058327481,Intercept,0,8443.74535651105,Intercept,0,0,0,0.7292008039142518,0,TRUE
