model,param,median,lower,upper
null,tau,1.13825705,0.8551143762500001,1.5842827624999998
null,tau2,1.295629111874705,0.7312205964695012,2.509951871562973
activity,tau,1.1119986,0.8222785737500001,1.5622622199999996
activity,tau2,1.2365408864045198,0.6761420528661697,2.440663244088249
duration,tau,1.1600774999999999,0.866570137,1.622549745
duration,tau2,1.3457798060065,0.7509438023403083,2.63266767501579
modality,tau,1.13024105,0.8457688132500001,1.5792525775
modality,tau2,1.277444831105165,0.7153248854675319,2.494038703541622
algorithm,tau,1.151019,0.86287133525,1.60568081
algorithm,tau2,1.3248447383622102,0.7445469412045418,2.5782108636088115
multimodal,tau,1.12270695,0.83952996775,1.5636698
multimodal,tau2,1.2604708955784252,0.7048105667506479,2.4450632434335993
intruders,tau,1.1316576,0.8489622425000001,1.5789366599999999
intruders,tau2,1.2806489236392,0.7207368891920001,2.4930409762920953
feature_type,tau,1.11883545,0.8345676345,1.5660017774999997
feature_type,tau2,1.251792764176765,0.6965031365748915,2.4523615671872325
full,tau,1.12828905,0.83242658375,1.5949952299999994
full,tau2,1.273036180350025,0.6929340173337225,2.5440097837299622
