imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,1,1.0007382328945322,Intercept_sigma,0,0,3055.6243777065993,"z_1[1,8]",0,5541.780170073156,b_Intercept,0,0,0,0.6924993429487066,0,TRUE
2,4,20000,58,1,1.0019583145953972,"z_1[1,8]",0,0,2782.502088506133,"z_1[1,8]",0,4802.537528941426,"r_id[305,Intercept]",0,0,0,0.7169781668944526,0,TRUE
3,4,20000,58,1,1.001024204055193,sd_id__Intercept,0,0,2642.5099616211414,"z_1[1,8]",0,4546.740688234054,"z_1[1,8]",0,0,0,0.7138427729364978,0,TRUE
4,4,20000,58,1,1.0005942119686164,"r_id[28,Intercept]",0,0,3154.5251945017562,b_Intercept,0,5483.227318808614,Intercept,0,0,0,0.6619771553789009,0,TRUE
5,4,20000,58,1,1.0017252982816618,sd_id__Intercept,0,0,2737.7010060856715,"z_1[1,8]",0,4972.596745577376,"z_1[1,19]",0,0,0,0.6888611726767359,0,TRUE
6,4,20000,58,1,1.0016242914699394,Intercept,0,0,2864.252436803412,"z_1[1,19]",0,4707.602163833932,"z_1[1,19]",0,0,0,0.6766373217543102,0,TRUE
7,4,20000,58,1,1.001224917938582,"z_1[1,19]",0,0,2888.8329071595067,"z_1[1,8]",0,5845.434780501523,"r_id[305,Intercept]",0,0,0,0.6775702237953836,0,TRUE
8,4,20000,58,1,1.0027497404997496,"z_1[1,19]",0,0,2716.9505235728175,"z_1[1,19]",0,4744.384672878272,"z_1[1,19]",0,0,0,0.6859524572281899,0,TRUE
9,4,20000,58,1,1.0014734488166188,"z_1[1,19]",0,0,2714.8598319940884,"z_1[1,19]",0,5047.682400521834,"r_id[305,Intercept]",0,0,0,0.6735524517231404,0,TRUE
10,4,20000,58,1,1.0011412617641313,sd_id__Intercept,0,0,2850.5247331876,"z_1[1,8]",0,5217.978091951297,b_Intercept,0,0,0,0.6901425990479858,0,TRUE
11,4,20000,58,1,1.0052085745225101,"z_1[1,1]",0,0,2428.123922384567,"z_1[1,8]",0,4699.618585518739,Intercept,0,0,0,0.6873666840383725,0,TRUE
12,4,20000,58,1,1.0009774709310568,"z_1[1,22]",0,0,2783.198268648221,"z_1[1,8]",0,5177.934206397052,b_Intercept,0,0,0,0.6921018683323724,0,TRUE
13,4,20000,58,1,1.001217671547702,Intercept,0,0,2745.4501620943092,"z_1[1,8]",0,4854.683151373219,"z_1[1,8]",0,0,0,0.6888667025929631,0,TRUE
14,4,20000,58,1,1.002089062706399,"r_id[382,Intercept]",0,0,2541.834476790303,"z_1[1,8]",0,4257.398556772727,"z_1[1,19]",0,0,0,0.7010467445103946,0,TRUE
15,4,20000,58,1,1.001668886361247,"r_id[495,Intercept]",0,0,2862.090293010323,"z_1[1,8]",0,5137.598328177521,"z_1[1,8]",0,0,0,0.6932806856899969,0,TRUE
16,4,20000,58,1,1.001986278636592,"r_id[147,Intercept]",0,0,2787.1581742686762,"z_1[1,8]",0,4781.349531343831,Intercept,0,0,0,0.7071699467561121,0,TRUE
17,4,20000,58,1,1.0024583670828933,"z_1[1,8]",0,0,2718.2002327516543,"z_1[1,8]",0,4603.622283058678,Intercept,0,0,0,0.6955337785017054,0,TRUE
18,4,20000,58,1,1.0015193390112902,b_Intercept,0,0,2921.793631636528,"z_1[1,8]",0,5149.42058288361,b_Intercept,0,0,0,0.7094336191640296,0,TRUE
19,4,20000,58,1,1.00098153668123,"z_1[1,19]",0,0,2918.8198396412213,"z_1[1,19]",0,5019.561716786352,b_Intercept,0,0,0,0.6977303992283778,0,TRUE
20,4,20000,58,1,1.002088016247582,sd_id__Intercept,0,0,2708.7441671642714,"z_1[1,19]",0,4195.814064597646,b_Intercept,0,0,0,0.6666551580135742,0,TRUE
