imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,1,1.0036702334757548,"z_1[1,8]",0,0,1996.7024664660976,"z_1[1,8]",0,3331.407332829583,"z_1[1,8]",0,0,0,0.6715044317501498,0,TRUE
2,4,12000,59,1,1.0030207921623857,"z_1[1,4]",0,0,1667.053382994695,Intercept,0,3336.4209988593893,Intercept,0,0,0,0.6842457372272296,0,TRUE
3,4,12000,59,1,1.0016136096126458,"z_1[1,12]",0,0,1953.3077428992667,Intercept,0,3628.4609072826656,Intercept,0,0,0,0.6864099582062617,0,TRUE
4,4,12000,59,1,1.0024088309019867,sd_id__Intercept,0,0,1979.9192452878588,"z_1[1,8]",0,3535.781088833735,"r_id[486,Intercept]",0,0,0,0.670759509670104,0,TRUE
5,4,12000,59,1,1.0041027622353977,"z_1[1,16]",0,0,2045.4543506888629,"z_1[1,8]",0,3687.136424175628,"z_1[1,8]",0,0,0,0.6790671770519228,0,TRUE
6,4,12000,59,1,1.0029119625102818,"r_id[495,Intercept]",0,0,2175.288070344592,Intercept,0,3556.6569124221865,Intercept,0,0,0,0.6869272755940514,0,TRUE
7,4,12000,59,1,1.0035409270881934,"z_1[1,19]",0,0,1865.801699923219,Intercept,0,3296.694045783974,Intercept,0,0,0,0.6951254867495549,0,TRUE
8,4,12000,59,1,1.0013570537131025,"z_1[1,10]",0,0,2011.9101593350304,Intercept,0,3295.81532581781,"z_1[1,19]",0,0,0,0.7138434790615349,0,TRUE
9,4,12000,59,1,1.0022877086617594,"z_1[1,12]",0,0,1951.4950792545249,"z_1[1,8]",0,3283.8556402044396,"z_1[1,8]",0,0,0,0.6905595010067215,0,TRUE
10,4,12000,59,1,1.0016945291471875,"z_1[1,8]",0,0,2069.3876850798397,Intercept,0,3461.841106109967,"z_1[1,8]",0,0,0,0.6589530844490393,0,TRUE
11,4,12000,59,1,1.0017466834134459,"z_1[1,23]",0,0,1700.7759178429287,"z_1[1,19]",0,3103.2359413104377,Intercept,0,0,0,0.6631965786217364,0,TRUE
12,4,12000,59,1,1.0036798709782837,"z_1[1,16]",0,0,2101.674234499458,"z_1[1,19]",0,3402.312200408395,"z_1[1,8]",0,0,0,0.695577742453366,0,TRUE
13,4,12000,59,1,1.0019689088789705,sd_id__Intercept,0,0,1967.7275135150378,"z_1[1,19]",0,3369.30996961739,Intercept,0,0,0,0.6737775221477751,0,TRUE
14,4,12000,59,1,1.0019091301265493,"r_id[486,Intercept]",0,0,1970.645967432648,"z_1[1,19]",0,3059.0900204903146,Intercept,0,0,0,0.6858709919172754,0,TRUE
15,4,12000,59,1,1.0026597367377525,Intercept,0,0,1848.9714899011954,"z_1[1,19]",0,2987.0252503247793,"z_1[1,8]",0,0,0,0.6770021254436955,0,TRUE
16,4,12000,59,1,1.003212103935312,"r_id[266,Intercept]",0,0,1953.8617006027848,"z_1[1,8]",0,3401.3065085446497,"r_id[305,Intercept]",0,0,0,0.6870108729690769,0,TRUE
17,4,12000,59,1,1.0029425362532625,"z_1[1,1]",0,0,1815.0904732866795,"z_1[1,19]",0,2894.0280184754643,"r_id[486,Intercept]",0,0,0,0.6933993592845694,0,TRUE
18,4,12000,59,1,1.0017381740613378,"r_id[61,Intercept]",0,0,1817.4620702706702,"z_1[1,8]",0,3109.368529572966,b_Intercept,0,0,0,0.7178457380959193,0,TRUE
19,4,12000,59,1,1.0021919425026522,"z_1[1,8]",0,0,1942.669296879983,Intercept,0,3392.0999561997082,Intercept,0,0,0,0.7017972802907094,0,TRUE
20,4,12000,59,1,1.0023398542203739,"r_id[486,Intercept]",0,0,1856.2527782166524,"z_1[1,19]",0,3200.346100008526,Intercept,0,0,0,0.6848623640659826,0,TRUE
