imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,1,1.0028849281402434,"z_1[1,16]",0,0,2216.4276752763135,"z_1[1,16]",0,4061.3592273693844,Intercept,0,0,0,0.7054980718347753,0,TRUE
2,4,20000,58,1,1.0017485055343842,"z_1[1,19]",0,0,2525.832986791373,"z_1[1,8]",0,4567.060133574041,b_Intercept,0,0,0,0.712571997410694,0,TRUE
3,4,20000,58,1,1.0036679466016054,"r_id[486,Intercept]",0,0,2626.5725605993075,"z_1[1,8]",0,4591.348565485455,b_Intercept,0,0,0,0.7073573282258295,0,TRUE
4,4,20000,58,1,1.0021532711501053,"z_1[1,19]",0,0,2492.875913616664,"z_1[1,8]",0,4554.93261373715,"z_1[1,19]",0,0,0,0.6844724845334829,0,TRUE
5,4,20000,58,1,1.001947155784846,"z_1[1,8]",0,0,2894.0485159281684,"z_1[1,8]",0,5180.671951743016,"z_1[1,19]",0,0,0,0.6858038254393248,0,TRUE
6,4,20000,58,1,1.0018575202150461,"z_1[1,4]",0,0,2597.2008023492276,"z_1[1,16]",0,4559.4840108208555,"z_1[1,16]",0,0,0,0.7068612063657127,0,TRUE
7,4,20000,58,1,1.0011877230262987,"r_id[305,Intercept]",0,0,2160.6104575267614,"z_1[1,8]",0,4350.282235216424,"r_id[486,Intercept]",0,0,0,0.7008107308693212,0,TRUE
8,4,20000,58,1,1.0016775038942405,"z_1[1,21]",0,0,2433.0514747103866,"z_1[1,8]",0,4709.320065895634,"r_id[486,Intercept]",0,0,0,0.7013026054315739,0,TRUE
9,4,20000,58,1,1.002117095311033,"z_1[1,19]",0,0,2546.8450982680565,"z_1[1,8]",0,4673.287928782955,b_Intercept,0,0,0,0.6997376391149327,0,TRUE
10,4,20000,58,1,1.0027904430382113,"z_1[1,8]",0,0,2298.2678825260214,"z_1[1,19]",0,4794.003884956011,"z_1[1,8]",0,0,0,0.7129303045433817,0,TRUE
11,4,20000,58,1,1.0028977700023272,"r_id[486,Intercept]",0,0,2561.494257985189,"z_1[1,8]",0,4175.694802640213,"r_id[305,Intercept]",0,0,0,0.7036598218259342,0,TRUE
12,4,20000,58,1,1.0012032354553262,"z_1[1,19]",0,0,2465.6611916729594,b_Intercept,0,4854.376541070204,b_Intercept,0,0,0,0.6492263054734865,0,TRUE
13,4,20000,58,1,1.0014385954230713,"r_id[486,Intercept]",0,0,2647.5374485759917,"z_1[1,8]",0,4579.926362521491,Intercept,0,0,0,0.6809212766315497,0,TRUE
14,4,20000,58,1,1.0016250581772879,"z_1[1,19]",0,0,2360.190927810946,"z_1[1,8]",0,4249.589321230827,"z_1[1,8]",0,0,0,0.7107986238124206,0,TRUE
15,4,20000,58,1,1.0025773512616367,"z_1[1,16]",0,0,2288.6228554087734,"z_1[1,8]",0,4147.780390356544,"z_1[1,8]",0,0,0,0.7007363418917252,0,TRUE
16,4,20000,58,1,1.002999040913701,"r_id[486,Intercept]",0,0,2330.045624135879,"z_1[1,8]",0,4226.967424655702,"r_id[486,Intercept]",0,0,0,0.7032495577904769,0,TRUE
17,4,20000,58,1,1.003106844754658,"z_1[1,16]",0,0,2940.6269489836254,"z_1[1,8]",0,5186.634802331336,"z_1[1,8]",0,0,0,0.7103509790562664,0,TRUE
18,4,20000,58,1,1.0011483165521662,"z_1[1,19]",0,0,2733.0042557547063,"z_1[1,8]",0,4801.58683269598,b_Intercept,0,0,0,0.6977895887599995,0,TRUE
19,4,20000,58,1,1.0017018075572042,"z_1[1,12]",0,0,2279.7439189326005,"z_1[1,8]",0,3827.547910385709,Intercept,0,0,0,0.7121302520142336,0,TRUE
20,4,20000,58,1,1.0016979445566705,"z_1[1,10]",0,0,2354.2690877217233,"z_1[1,8]",0,4147.139324744466,"z_1[1,8]",0,0,0,0.6939098531313916,0,TRUE
