imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,57,1,1.0044233691264965,"z_1[1,12]",0,0,1648.034111225123,b_Intercept,0,2479.636267448255,b_Intercept,0,0,0,0.6888275298229812,0,TRUE
2,4,12000,57,1,1.0019813327918092,"z_1[1,10]",0,0,1613.3356283892417,"z_1[1,8]",0,2609.7735425792916,"z_1[1,16]",0,0,0,0.69650109674392,0,TRUE
3,4,12000,57,1,1.0053089298185267,"z_1[1,16]",0,0,1675.5762387528262,"z_1[1,16]",0,2654.0244659656846,b_Intercept,0,0,0,0.6866084772495178,0,TRUE
4,4,12000,57,1,1.0021282594940761,"z_1[1,19]",0,0,1578.5236145449287,"z_1[1,19]",0,3101.8233279529527,"z_1[1,19]",0,0,0,0.7061020593891122,0,TRUE
5,4,12000,57,1,1.0064068359680538,b_Intercept,0,0,1352.5529594357265,"z_1[1,8]",0,2403.1037360890314,"z_1[1,8]",0,0,0,0.7066620213087716,0,TRUE
6,4,12000,57,1,1.0032821126393858,"r_id[486,Intercept]",0,0,1391.1836693024707,"z_1[1,8]",0,2412.408926727532,b_Intercept,0,0,0,0.6801706601521118,0,TRUE
7,4,12000,57,1,1.0021915419086784,"z_1[1,16]",0,0,1397.3747136829434,"z_1[1,19]",0,2434.333342232383,"z_1[1,8]",0,0,0,0.6627844138726114,0,TRUE
8,4,12000,57,1,1.0021863965935522,"r_id[486,Intercept]",0,0,1555.4231467498023,"z_1[1,8]",0,2489.3570309687993,"z_1[1,8]",0,0,0,0.6977067510529322,0,TRUE
9,4,12000,57,1,1.002001815998496,"r_id[266,Intercept]",0,0,1734.972744714618,"z_1[1,8]",0,2785.9719421936406,"z_1[1,8]",0,0,0,0.6872895737632255,0,TRUE
10,4,12000,57,1,1.0027961227373199,"z_1[1,4]",0,0,1436.3465444692108,"z_1[1,16]",0,2651.4507535169923,"r_id[447,Intercept]",0,0,0,0.682850665474051,0,TRUE
11,4,12000,57,1,1.0028218264891733,"z_1[1,19]",0,0,1517.7616051536431,"z_1[1,8]",0,2753.774897997642,"z_1[1,8]",0,0,0,0.6764729804413003,0,TRUE
12,4,12000,57,1,1.0025367401518843,"r_id[486,Intercept]",0,0,1405.9624272606175,"z_1[1,8]",0,2377.8851495024824,"r_id[305,Intercept]",0,0,0,0.684256654502495,0,TRUE
13,4,12000,57,1,1.0015042617784347,b_Intercept,0,0,1667.4562850541072,b_Intercept,0,2916.420826178162,"z_1[1,16]",0,0,0,0.6800269013855801,0,TRUE
14,4,12000,57,1,1.0017678960421859,"r_id[305,Intercept]",0,0,1307.6259355498455,"z_1[1,16]",0,2222.4795593032864,"z_1[1,8]",0,0,0,0.677120998556985,0,TRUE
15,4,12000,57,1,1.0034368329097276,sd_id__Intercept,0,0,1560.7927445230862,"z_1[1,16]",0,2279.0904989110318,"r_id[486,Intercept]",0,0,0,0.6396403419315231,0,TRUE
16,4,12000,57,1,1.0017241168165956,"z_1[1,20]",0,0,1742.1259121649232,"z_1[1,8]",0,2859.0705082808354,b_Intercept,0,0,0,0.6914221206031463,0,TRUE
17,4,12000,57,1,1.0024054212782125,"z_1[1,19]",0,0,1857.2153221503565,"z_1[1,8]",0,2550.7231989989673,"z_1[1,16]",0,0,0,0.6806227417553385,0,TRUE
18,4,12000,57,1,1.0018216538682538,"z_1[1,19]",0,0,1705.376509225709,"z_1[1,8]",0,3192.1153027815885,"z_1[1,19]",0,0,0,0.7072512129462375,0,TRUE
19,4,12000,57,1,1.0014759093827246,"z_1[1,9]",0,0,1286.8761282641276,"z_1[1,8]",0,2181.8809885217343,"r_id[486,Intercept]",0,0,0,0.6888841756872376,0,TRUE
20,4,12000,57,1,1.0019847833793303,"z_1[1,13]",0,0,1487.5562336159448,"z_1[1,16]",0,2770.4083546207466,"z_1[1,8]",0,0,0,0.7003642511427213,0,TRUE
