Construct,Level,Univariate,Multivariate
Modality,Other,"84.7 [76.5, 90.3]","84.9 [75.3, 91.3]"
Modality,ECG,"89.7 [82.3, 93.9]","89.7 [81.7, 94.3]"
Modality,PPG,"87.7 [80.9, 92.3]","87.4 [79.0, 92.8]"
Algorithm family,Other algorithm,"88.1 [81.3, 92.5]","84.9 [75.3, 91.3]"
Algorithm family,Deep learning,"88.0 [81.3, 92.4]","85.1 [75.7, 91.5]"
Algorithm family,Temporal deep learning,"88.7 [81.1, 93.3]","86.3 [75.9, 92.8]"
Algorithm family,Tree-based methods,"88.3 [81.6, 92.7]","85.4 [76.1, 91.7]"
Algorithm family,Kernel-based methods,"86.9 [78.2, 92.3]","83.6 [72.1, 91.0]"
Study duration,low (one day),"88.2 [81.4, 92.6]","84.9 [75.3, 91.3]"
Study duration,medium (multiple days),"87.8 [75.0, 94.2]","84.5 [68.2, 92.9]"
Study duration,high (> one week),"84.9 [70.1, 92.4]","81.1 [62.8, 90.7]"
Multimodality,Unimodal,"88.2 [81.9, 92.3]","84.9 [75.3, 91.3]"
Multimodality,Multimodal,"92.0 [87.3, 95.0]","88.7 [80.6, 93.8]"
Intruders,No intruders,"88.3 [82.0, 92.4]",—
Intruders,Intruders,"87.1 [78.9, 92.2]",—
Feature type,handcrafted,"88.2 [81.6, 92.4]",—
Feature type,deep,"89.6 [81.0, 94.4]",—
Feature type,hybrid,"85.4 [74.1, 92.3]",—
Activity,one condition,"87.6 [80.0, 92.5]","84.7 [74.3, 91.5]"
Activity,multiple conditions,"88.6 [80.5, 93.5]","85.8 [74.8, 92.4]"
Activity,everyday activities,"87.3 [77.7, 93.1]","84.9 [72.8, 92.3]"
