experiment_id,source_row,id,experience,modality,stable_key,algorithm,algorithm_family,algorithm_details,number_of_individuals,conditions,device,sampling_frequency,number_of_channels_electrodes,acquisition_time,duration,ECG,EDA,PPG,SCG,VHF,microphone,multimodal,age_and_gender_reported,device_location,permanence,authentication_time,enroll_time,internal_validation,external_validation,accuracy_raw,eer_raw,f1_raw,auc_raw,features_raw,feature_type,feature_dim,dim_reduction,noise_reduction,segmentation,segmentation_type,normalization,normalizationyn,filteringyn,accuracy_percent_raw_parsed,eer_percent_raw_parsed,outcome_source,outcome_percent,outcome_probability,boundary_epsilon,outcome_probability_corrected,outcome_logit,inclusion_status,exclusion_reason,outcome_decision_note,uncertainty_reported_source,uncertainty_reported_percent,se_provenance_category,se_conversion_denominator,se_probability_primary,se_logit_primary,include_se_primary,se_probability_sensitivity,se_logit_sensitivity,include_se_sensitivity,uncertainty_exclusion_flag,se_decision_note
28_,1,28,,PPG,28|,LSTM,dl_temp,Exponentially Weighted Moving Average (EWMA) Confidence unit,15,one condition,Empatica E4,64 Hz,,5-30 min,5-30 min,0,0,1,0,0,0,0,0,wrist,low (one day),64 PPG readings,5 min,time-based splitting,14 intruders,,4.8%,,,time series data (Automatic feature extraction via DL),deep,,no,none,none,none,batch normalization in source data set,yes,no,,4.8,converted EER,95.2,0.9520000000000001,,0.9520000000000001,2.987364023883476,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M50-NB,2,36,Hexoskin M50 NB,ECG,36|Hexoskin M50 NB,NB,Other algorithm,NB + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,837 samples,"5-Fold CV, 3 intruders held out in each fold, 50/50 training/testing within fold",3 intruders,,24.62%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,24.62,converted EER,75.38,0.7537999999999999,,0.7537999999999999,1.1189828670826814,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M40-NB,3,36,Hexoskin M40 NB,ECG,36|Hexoskin M40 NB,NB,Other algorithm,NB + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1005 samples,"5-Fold CV, 3 intruders held out in each fold, 60/40 training/testing within fold",3 intruders,,21.09%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,21.09,converted EER,78.91,0.7890999999999999,,0.7890999999999999,1.3195089680422598,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M30-NB,4,36,Hexoskin M30 NB,ECG,36|Hexoskin M30 NB,NB,Other algorithm,NB + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1172 samples,"5-Fold CV, 3 intruders held out in each fold, 70/30 training/testing within fold",3 intruders,,18.27%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,18.27,converted EER,81.73,0.8173,,0.8173,1.4981607611381231,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-E50-NB,5,36,Hexoskin E50 NB,ECG,36|Hexoskin E50 NB,NB,Other algorithm,NB + Euclidian distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,837 samples,"5-Fold CV, 3 intruders held out in each fold, 50/50 training/testing within fold",3 intruders,,26.04%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,26.04,converted EER,73.96000000000001,0.7396,,0.7396,1.0438905891785557,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-E40-NB,6,36,Hexoskin E40 NB,ECG,36|Hexoskin E40 NB,NB,Other algorithm,NB + Euclidian distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1005 samples,"5-Fold CV, 3 intruders held out in each fold, 60/40 training/testing within fold",3 intruders,,22.05%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,22.05,converted EER,77.95,0.7795000000000001,,0.7795000000000001,1.262754993610931,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-E30-NB,7,36,Hexoskin E30 NB,ECG,36|Hexoskin E30 NB,NB,Other algorithm,NB + Euclidian distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1172 samples,"5-Fold CV, 3 intruders held out in each fold, 70/30 training/testing within fold",3 intruders,,20.38%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,20.38,converted EER,79.62,0.7962,,0.7962,1.3627112897775924,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M50-DT,8,36,Hexoskin M50 DT,ECG,36|Hexoskin M50 DT,DT,tree,DT + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,837 samples,"5-Fold CV, 3 intruders held out in each fold, 50/50 training/testing within fold",3 intruders,,30.87%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,30.87,converted EER,69.13,0.6912999999999999,,0.6912999999999999,0.8062039514431053,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M40-DT,9,36,Hexoskin M40 DT,ECG,36|Hexoskin M40 DT,DT,tree,DT + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1005 samples,"5-Fold CV, 3 intruders held out in each fold, 60/40 training/testing within fold",3 intruders,,26.64%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,26.64,converted EER,73.36,0.7336,,0.7336,1.0129649822760212,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
36_Hexoskin-M30-DT,10,36,Hexoskin M30 DT,ECG,36|Hexoskin M30 DT,DT,tree,DT + Manhattan distance,13,multiple conditions,Hexoskin Hx1,256 Hz,3 electrodes,5-30 min,5-30 min,1,0,0,0,0,0,0,0,chest/torso,low (one day),4s,1172 samples,"5-Fold CV, 3 intruders held out in each fold, 70/30 training/testing within fold",3 intruders,,25.42%,,,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",handcrafted,medium,no,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,window,not described,no,yes,,25.42,converted EER,74.58,0.7458,,0.7458,1.0763361089893668,included,,included; accuracy missing and EER is a valid percentage,,,no reported uncertainty,,,,0,,,0,0,No parenthesized uncertainty was reported in the selected accuracy/EER field.
