dataset_name,study_id,Raw number of individuals,Raw situational stability,Raw permanence
own data,43,47,Unclear,Not reported
own data,55,28,Moderate,One day
own data,61,10,Unclear,Not reported
own data,61,10,Moderate,Not reported
own data,75,13,Limited,One day
own data,75,13,None,One day
own data,147,20,None,One day
own data,189,30,High,Multiple days
own data,253,"2 users, 38 intruders",Unclear,Multiple days
own data,278,53,Limited,One day
own data,278,53,None,High (> one week)
own data,298,20,None,One day
own data,298,5,Moderate,One day
own data,298,4,Moderate,One day
own data,305,74,High,Multiple days
own data,330,5,None,Not reported
own data,382,10,High,One day
own data,401,66,None,Multiple days
own data,401,66,Unclear,Multiple days
own data,401,89,None,Multiple days
own data,401,89,Moderate,Multiple days
own data,445,11,None,One day
own data,445,11,Limited,One day
own data,455,29,None,One day
own data,459,30,None,One day
own data,460,4,High,One day
own data,475,15,None,One day
own data,486,30,High,One day
own data,486,30,Unclear,One day
own data,495,11,High,One day
own data,495,11,High,High (> one week)
own data,495,11,Moderate,One day
own data,495,11,Moderate,High (> one week)
