modality_group,id,experience,modality,feature_type,feature_dim,dim_reduction,Features
ECG,205,ECG,ECG,hybrid,not coded,no,Instantaneous Frequency (IF) and spectral entropy (SE)
ECG,253,NA,ECG,hybrid,not coded,no,"Autocorrelation (AC) and Discrete Cosine Transform (DCT): selection of the considered signal, computation of autocorrelation coefficients with different delays, transformation of autocorrelation coefficients vector using the DCT transform and then using the transformed vector as new feature input for the classifier."
ECG,278,S1 idle - S1 touchpad ECG,ECG,handcrafted,not coded,no,partially fiducial approach using the waveform amplitude values
ECG,278,S1 idle - S1 typing 2 ECG,ECG,handcrafted,not coded,no,partially fiducial approach using the waveform amplitude values
ECG,278,S1 idle - S1 typing1 ECG,ECG,handcrafted,not coded,no,partially fiducial approach using the waveform amplitude values
ECG,278,S1 idle - S2 idle ECG,ECG,handcrafted,not coded,no,partially fiducial approach using the waveform amplitude values
ECG,330,Apple watch DT:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch DT:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch DT:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch KNN:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch KNN:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch KNN:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch LDA:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch LDA:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch LDA:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch LR:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch LR:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch LR:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch RBF-SVM:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch RBF-SVM:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch RBF-SVM:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch RF:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch RF:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch RF:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,330,Apple watch SVM:ACC,ECG,handcrafted,medium,no,"50 autocorrelation coefficients (ACCs) extracted from rectangular windows of length 400 ms centered
around the R-Peak"
ECG,330,Apple watch SVM:MFCC,ECG,handcrafted,medium,no,20 features of Mel-Frequency Cepstral Coefficients (MFCCs) extracted from rectangular windows of length 400 ms centered around the R-Peak
ECG,330,Apple watch SVM:QRS,ECG,handcrafted,not coded,no,"QRS features: window size of 200-ms, enclosing only the Q, R, and S waves, while excluding the P and T peaks."
ECG,36,Hexoskin E30 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin E30 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin E40 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin E40 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin E50 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin E50 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M30 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M30 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M40 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M40 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M50 DT,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,36,Hexoskin M50 NB,ECG,handcrafted,medium,no,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks"
ECG,43,NA,ECG,handcrafted,not coded,no,invariant features of “RR” intervals
ECG,445,445.0.1 / A1,ECG,handcrafted,not coded,no,PQRST morphology of the ECG using the signal of the QRS complex
