Modality,Feature type,Feature-selection category,Studies,Experiments,Study IDs
ECG,deep,Implicit/model-based,2,11,455 | 475
ECG,handcrafted,Explicit selection,1,12,36
ECG,handcrafted,none / not reported,5,37,278 | 330 | 43 | 445 | 495
ECG,hybrid,Explicit selection,1,1,460
ECG,hybrid,Implicit/model-based,4,274,205 | 253 | 447 | 455
PPG,deep,Implicit/model-based,4,47,266 | 28 | 374 | 401
PPG,deep,none / not reported,1,1,401
PPG,handcrafted,Explicit selection,4,148,305 | 486 | 55 | 61
PPG,handcrafted,none / not reported,3,28,278 | 298 | 459
PPG,hybrid,Implicit/model-based,2,7,205 | 382
Other,handcrafted,Explicit selection,4,51,189 | 305 | 61 | 75
Other,handcrafted,none / not reported,1,120,147
Other,hybrid,Implicit/model-based,1,3,382
