Modality,Feature type,Feature dimension,Dimensionality reduction,Feature-selection category,Studies,Experiments,Study IDs
ECG,deep,not coded,no,Implicit/model-based,2,11,455 | 475
ECG,handcrafted,medium,no,Explicit selection,1,12,36
ECG,handcrafted,medium,no,none / not reported,1,14,330
ECG,handcrafted,not coded,no,none / not reported,5,23,278 | 330 | 43 | 445 | 495
ECG,hybrid,high,no,Implicit/model-based,1,1,455
ECG,hybrid,medium,no,Implicit/model-based,1,1,455
ECG,hybrid,not coded,no,Implicit/model-based,3,272,205 | 253 | 447
ECG,hybrid,not coded,yes,Explicit selection,1,1,460
PPG,deep,not coded,no,Implicit/model-based,4,47,266 | 28 | 374 | 401
PPG,deep,not coded,no,none / not reported,1,1,401
PPG,handcrafted,low,no,Explicit selection,4,139,305 | 486 | 55 | 61
PPG,handcrafted,low,no,none / not reported,1,19,298
PPG,handcrafted,low,yes,Explicit selection,1,2,61
PPG,handcrafted,medium,no,Explicit selection,2,7,486 | 61
PPG,handcrafted,medium,no,none / not reported,1,5,459
PPG,handcrafted,not coded,no,none / not reported,1,4,278
PPG,hybrid,medium,no,Implicit/model-based,1,6,382
PPG,hybrid,not coded,no,Implicit/model-based,1,1,205
Other,handcrafted,low,no,Explicit selection,2,22,189 | 305
Other,handcrafted,low,yes,Explicit selection,1,1,61
Other,handcrafted,medium,no,Explicit selection,1,1,61
Other,handcrafted,medium,yes,Explicit selection,1,27,75
Other,handcrafted,not coded,no,none / not reported,1,120,147
Other,hybrid,medium,no,Implicit/model-based,1,3,382
